Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,16142,13602,    1228,     941,2540,deacmesf,crypto
31/03/26,14914,12661,    -947,   -1094,2253,deacmesf,crypto
24/03/26,15861,13755,    -880,   -1213,2106,deacmesf,crypto
17/03/26,16741,14968,     880,     409,1773,deacmesf,crypto
10/03/26,15861,14559,     276,     -15,1302,deacmesf,crypto
03/03/26,15585,14574,    -825,    -664,1011,deacmesf,crypto
24/02/26,16410,15238,    -183,     283,1172,deacmesf,crypto
17/02/26,16593,14955,    -423,   -1044,1638,deacmesf,crypto
10/02/26,17016,15999,   -1923,   -1932,1017,deacmesf,crypto
03/02/26,18939,17931,     885,     567,1008,deacmesf,crypto
27/01/26,18054,17364,   -1787,   -2179,690,deacmesf,crypto
20/01/26,19841,19543,     723,     494,298,deacmesf,crypto
13/01/26,19118,19049,    1114,     311,69,deacmesf,crypto
06/01/26,18004,18738,    1593,    1814,-734,deacmesf,crypto
30/12/25,16411,16924,    -952,    -918,-513,deacmesf,crypto
23/12/25,17363,17842,   -2003,   -1418,-479,deacmesf,crypto
16/12/25,19366,19260,   -1044,    -885,106,deacmesf,crypto
09/12/25,20410,20145,     173,     475,265,deacmesf,crypto
02/12/25,20237,19670,    -963,   -1613,567,deacmesf,crypto
25/11/25,21200,21283,   -1567,   -1796,-83,deacmesf,crypto
18/11/25,22767,23079,    -276,     164,-312,deacmesf,crypto
10/11/25,23043,22915,     531,     128,128,deacmesf,crypto
04/11/25,22512,22787,    -465,    -733,-275,deacmesf,crypto
28/10/25,22977,23520,    -449,    -235,-543,deacmesf,crypto
21/10/25,23426,23755,    -466,    -589,-329,deacmesf,crypto
14/10/25,23892,24344,     364,    -292,-452,deacmesf,crypto
07/10/25,23528,24636,     879,    1879,-1108,deacmesf,crypto
30/09/25,22649,22757,    -491,    -304,-108,deacmesf,crypto
23/09/25,23140,23061,    -648,    -707,79,deacmesf,crypto
16/09/25,23788,23768,     713,     225,20,deacmesf,crypto
09/09/25,23075,23543,     623,     189,-468,deacmesf,crypto
02/09/25,22452,23354,    -341,     189,-902,deacmesf,crypto
26/08/25,22793,23165,    -271,   -1099,-372,deacmesf,crypto
19/08/25,23064,24264,    -374,      84,-1200,deacmesf,crypto
12/08/25,23438,24180,     399,    -360,-742,deacmesf,crypto
05/08/25,23039,24540,    -812,    -319,-1501,deacmesf,crypto
29/07/25,23851,24859,    -596,   -1440,-1008,deacmesf,crypto
22/07/25,24447,26299,     165,    -469,-1852,deacmesf,crypto
15/07/25,24282,26768,     268,     318,-2486,deacmesf,crypto
08/07/25,24014,26450,    -172,     508,-2436,deacmesf,crypto
01/07/25,24186,25942,     -46,    -451,-1756,deacmesf,crypto
24/06/25,24232,26393,    -132,     245,-2161,deacmesf,crypto
17/06/25,24364,26148,    -417,    -642,-1784,deacmesf,crypto
10/06/25,24781,26790,     697,     394,-2009,deacmesf,crypto
03/06/25,24084,26396,    -462,    -424,-2312,deacmesf,crypto
27/05/25,24546,26820,     404,     726,-2274,deacmesf,crypto
20/05/25,24142,26094,     689,    1814,-1952,deacmesf,crypto
13/05/25,23453,24280,     517,    -437,-827,deacmesf,crypto
06/05/25,22936,24717,     581,    1131,-1781,deacmesf,crypto
29/04/25,22355,23586,    -703,    -278,-1231,deacmesf,crypto
22/04/25,23058,23864,    2411,    3803,-806,deacmesf,crypto
15/04/25,20647,20061,   -1741,    -995,586,deacmesf,crypto
08/04/25,22388,21056,    -985,   -1826,1332,deacmesf,crypto
01/04/25,23373,22882,   -1003,    -315,491,deacmesf,crypto
25/03/25,24376,23197,    -865,    -203,1179,deacmesf,crypto
18/03/25,25241,23400,     756,     444,1841,deacmesf,crypto
11/03/25,24485,22956,      16,    -899,1529,deacmesf,crypto
04/03/25,24469,23855,   -1268,   -1678,614,deacmesf,crypto
25/02/25,25737,25533,   -1630,   -2201,204,deacmesf,crypto
18/02/25,27367,27734,     565,     565,-367,deacmesf,crypto
11/02/25,26802,27169,    -768,     385,-367,deacmesf,crypto
04/02/25,27570,26784,   -1023,    -644,786,deacmesf,crypto
28/01/25,28593,27428,    -528,    -954,1165,deacmesf,crypto
21/01/25,29121,28382,     155,     751,739,deacmesf,crypto
14/01/25,28966,27631,     -80,    -225,1335,deacmesf,crypto
07/01/25,29046,27856,    1218,    -291,1190,deacmesf,crypto
