Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,21325,18597,     296,     467,2728,deacmesf,crypto
31/03/26,21029,18130,    -198,    -960,2899,deacmesf,crypto
24/03/26,21227,19090,   -3377,   -3367,2137,deacmesf,crypto
17/03/26,24604,22457,    2874,    2967,2147,deacmesf,crypto
10/03/26,21730,19490,    -301,    -227,2240,deacmesf,crypto
03/03/26,22031,19717,     890,    1380,2314,deacmesf,crypto
24/02/26,21141,18337,   -1528,   -1082,2804,deacmesf,crypto
17/02/26,22669,19419,    -101,    -514,3250,deacmesf,crypto
10/02/26,22770,19933,    -541,   -1023,2837,deacmesf,crypto
03/02/26,23311,20956,   -3955,   -4072,2355,deacmesf,crypto
27/01/26,27266,25028,   -2669,   -2250,2238,deacmesf,crypto
20/01/26,29935,27278,     805,     599,2657,deacmesf,crypto
13/01/26,29130,26679,     589,     187,2451,deacmesf,crypto
06/01/26,28541,26492,    2818,    3877,2049,deacmesf,crypto
30/12/25,25723,22615,    -319,    -362,3108,deacmesf,crypto
23/12/25,26042,22977,   -1214,    -874,3065,deacmesf,crypto
16/12/25,27256,23851,   -2400,   -2914,3405,deacmesf,crypto
09/12/25,29656,26765,    2703,    2625,2891,deacmesf,crypto
02/12/25,26953,24140,    -737,    -610,2813,deacmesf,crypto
25/11/25,27690,24750,   -2266,   -1974,2940,deacmesf,crypto
18/11/25,29956,26724,   -4695,   -3898,3232,deacmesf,crypto
10/11/25,34651,30622,    1845,    1097,4029,deacmesf,crypto
04/11/25,32806,29525,   -2188,   -1837,3281,deacmesf,crypto
28/10/25,34994,31362,   -1744,   -1750,3632,deacmesf,crypto
21/10/25,36738,33112,    -874,   -1118,3626,deacmesf,crypto
14/10/25,37612,34230,    1942,     308,3382,deacmesf,crypto
07/10/25,35670,33922,     963,    2803,1748,deacmesf,crypto
30/09/25,34707,31119,     779,     611,3588,deacmesf,crypto
23/09/25,33928,30508,      61,   -1104,3420,deacmesf,crypto
16/09/25,33867,31612,    1541,    1773,2255,deacmesf,crypto
09/09/25,32326,29839,     682,     234,2487,deacmesf,crypto
02/09/25,31644,29605,   -3673,   -3598,2039,deacmesf,crypto
26/08/25,35317,33203,    4831,    3353,2114,deacmesf,crypto
19/08/25,30486,29850,   -2752,   -2251,636,deacmesf,crypto
12/08/25,33238,32101,    6925,    6166,1137,deacmesf,crypto
05/08/25,26313,25935,    -722,   -1519,378,deacmesf,crypto
29/07/25,27035,27454,    -483,    -597,-419,deacmesf,crypto
22/07/25,27518,28051,    1580,    1164,-533,deacmesf,crypto
15/07/25,25938,26887,    4012,    4081,-949,deacmesf,crypto
08/07/25,21926,22806,    1321,    2059,-880,deacmesf,crypto
01/07/25,20605,20747,    -444,   -1635,-142,deacmesf,crypto
24/06/25,21049,22382,     973,    1522,-1333,deacmesf,crypto
17/06/25,20076,20860,    -123,    -893,-784,deacmesf,crypto
10/06/25,20199,21753,    1500,    2181,-1554,deacmesf,crypto
03/06/25,18699,19572,    -513,    -354,-873,deacmesf,crypto
27/05/25,19212,19926,    1541,    2411,-714,deacmesf,crypto
20/05/25,17671,17515,    -304,     141,156,deacmesf,crypto
13/05/25,17975,17374,    5493,    5665,601,deacmesf,crypto
06/05/25,12482,11709,     413,    -145,773,deacmesf,crypto
29/04/25,12069,11854,     158,     745,215,deacmesf,crypto
22/04/25,11911,11109,      10,     242,802,deacmesf,crypto
15/04/25,11901,10867,   -1106,    -923,1034,deacmesf,crypto
08/04/25,13007,11790,   -1719,   -2961,1217,deacmesf,crypto
01/04/25,14726,14751,   -1606,    -447,-25,deacmesf,crypto
25/03/25,16332,15198,     151,    -110,1134,deacmesf,crypto
18/03/25,16181,15308,     180,    -264,873,deacmesf,crypto
11/03/25,16001,15572,    -135,      88,429,deacmesf,crypto
04/03/25,16136,15484,   -1480,   -1299,652,deacmesf,crypto
25/02/25,17616,16783,    -519,    -205,833,deacmesf,crypto
18/02/25,18135,16988,     -18,    -563,1147,deacmesf,crypto
11/02/25,18153,17551,    -944,   -1056,602,deacmesf,crypto
04/02/25,19097,18607,    3228,    3684,490,deacmesf,crypto
28/01/25,15869,14923,     101,    -408,946,deacmesf,crypto
21/01/25,15768,15331,    1074,    1372,437,deacmesf,crypto
14/01/25,14694,13959,   -1132,    -770,735,deacmesf,crypto
07/01/25,15826,14729,     545,    -761,1097,deacmesf,crypto
