Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,137959,67146,   -3816,    6877,70813,deacmesf,forex
31/03/26,141775,60269,    9146,   -1488,81506,deacmesf,forex
24/03/26,132629,61757,   -3445,   -5256,70872,deacmesf,forex
17/03/26,136074,67013,   14680,    -184,69061,deacmesf,forex
10/03/26,121394,67197,  -15121,   -1556,54197,deacmesf,forex
03/03/26,136515,68753,   14854,    -264,67762,deacmesf,forex
24/02/26,121661,69017,    3841,   -2872,52644,deacmesf,forex
17/02/26,117820,71889,    5054,   -7668,45931,deacmesf,forex
10/02/26,112766,79557,   -5985,  -13076,33209,deacmesf,forex
03/02/26,118751,92633,    8945,  -10027,26118,deacmesf,forex
27/01/26,109806,102660,   24047,    2890,7146,deacmesf,forex
20/01/26,85759,99770,    1804,   -3031,-14011,deacmesf,forex
13/01/26,83955,102801,    3464,    3350,-18846,deacmesf,forex
06/01/26,80491,99451,    2994,     738,-18960,deacmesf,forex
30/12/25,77497,98713,    6840,    6458,-21216,deacmesf,forex
23/12/25,70657,92255,    3017,    2720,-21598,deacmesf,forex
16/12/25,67640,89535,   10071,  -30981,-21895,deacmesf,forex
09/12/25,57569,120516,   11701,   -8745,-62947,deacmesf,forex
02/12/25,45868,129261,    1950,    1167,-83393,deacmesf,forex
25/11/25,43918,128094,   -1803,    6517,-84176,deacmesf,forex
18/11/25,45721,121577,    2607,    -164,-75856,deacmesf,forex
10/11/25,43114,121741,   -7246,    -195,-78627,deacmesf,forex
04/11/25,50360,121936,    8645,    6287,-71576,deacmesf,forex
28/10/25,41715,115649,  -10079,   -1909,-73934,deacmesf,forex
21/10/25,51794,117558,    1470,    7656,-65764,deacmesf,forex
14/10/25,50324,109902,    2607,    4380,-59578,deacmesf,forex
07/10/25,47717,105522,    6004,    -797,-57805,deacmesf,forex
30/09/25,41713,106319,    -281,    4735,-64606,deacmesf,forex
23/09/25,41994,101584,    1718,   10148,-59590,deacmesf,forex
16/09/25,40276,91436,    8076,  -19995,-51160,deacmesf,forex
09/09/25,32200,111431,    2523,    -929,-79231,deacmesf,forex
02/09/25,29677,112360,     977,  -16930,-82683,deacmesf,forex
26/08/25,28700,129290,   -2968,    2735,-100590,deacmesf,forex
19/08/25,31668,126555,    6037,   13019,-94887,deacmesf,forex
12/08/25,25631,113536,    1643,    5988,-87905,deacmesf,forex
05/08/25,23988,107548,   -2518,    2948,-83560,deacmesf,forex
29/07/25,26506,104600,    1440,   -1721,-78094,deacmesf,forex
22/07/25,25066,106321,    3833,   10169,-81255,deacmesf,forex
15/07/25,21233,96152,   -2039,   -1434,-74919,deacmesf,forex
08/07/25,23272,97586,   -2267,    1957,-74314,deacmesf,forex
01/07/25,25539,95629,    2290,    -182,-70090,deacmesf,forex
24/06/25,23249,95811,    2055,    5227,-72562,deacmesf,forex
17/06/25,21194,90584,   -2803,   -3357,-69390,deacmesf,forex
10/06/25,23997,93941,      28,    6817,-69944,deacmesf,forex
03/06/25,23969,87124,    2397,    4372,-63155,deacmesf,forex
27/05/25,21572,82752,     575,    2678,-61180,deacmesf,forex
20/05/25,20997,80074,   -4510,    5221,-59077,deacmesf,forex
13/05/25,25507,74853,    -736,     238,-49346,deacmesf,forex
06/05/25,26243,74615,    -359,   -1930,-48372,deacmesf,forex
29/04/25,26602,76545,    -573,   -5212,-49943,deacmesf,forex
22/04/25,27175,81757,    7435,    3169,-54582,deacmesf,forex
15/04/25,19740,78588,   -8753,  -13205,-58848,deacmesf,forex
08/04/25,28493,91793,    2282,  -10281,-63300,deacmesf,forex
01/04/25,26211,102074,   -1913,   -3496,-75863,deacmesf,forex
25/03/25,28124,105570,     496,    7493,-77446,deacmesf,forex
18/03/25,27628,98077,  -24543,   -2320,-70449,deacmesf,forex
11/03/25,52171,100397,   -2980,   -2987,-48226,deacmesf,forex
04/03/25,55151,103384,    4278,    6931,-48233,deacmesf,forex
25/02/25,50873,96453,    3955,   -7188,-45580,deacmesf,forex
18/02/25,46918,103641,    6550,   -2312,-56723,deacmesf,forex
11/02/25,40368,105953,    5038,   -4686,-65585,deacmesf,forex
04/02/25,35330,110639,    3134,    6612,-75309,deacmesf,forex
28/01/25,32196,104027,    1017,    1552,-71831,deacmesf,forex
21/01/25,31179,102475,    5044,   -1291,-71296,deacmesf,forex
14/01/25,26135,103766,   -6981,   -2783,-77631,deacmesf,forex
07/01/25,33116,106549,   -2132,    -110,-73433,deacmesf,forex
