Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,80157,40062,   -2630,    9986,40095,deacmesf,forex
31/03/26,82787,30076,    7433,    3970,52711,deacmesf,forex
24/03/26,75354,26106,    4099,    4168,49248,deacmesf,forex
17/03/26,71255,21938,    -486,    1225,49317,deacmesf,forex
10/03/26,71741,20713,     474,   -5584,51028,deacmesf,forex
03/03/26,71267,26297,    -164,   -8460,44970,deacmesf,forex
24/02/26,71431,34757,    8453,    6441,36674,deacmesf,forex
17/02/26,62978,28316,    4583,    1564,34662,deacmesf,forex
10/02/26,58395,26752,    1163,     482,31643,deacmesf,forex
03/02/26,57232,26270,    1205,  -10912,30962,deacmesf,forex
27/01/26,56027,37182,    2297,    1093,18845,deacmesf,forex
20/01/26,53730,36089,    1330,    1563,17641,deacmesf,forex
13/01/26,52400,34526,    4349,    4092,17874,deacmesf,forex
06/01/26,48051,30434,  -12081,   12411,17617,deacmesf,forex
30/12/25,60132,18023,   -1464,    4102,42109,deacmesf,forex
23/12/25,61596,13921,   -5359,   -5028,47675,deacmesf,forex
16/12/25,66955,18949,   -7550,    1878,48006,deacmesf,forex
09/12/25,74505,17071,     -81,    3331,57434,deacmesf,forex
02/12/25,74586,13740,    3312,    -753,60846,deacmesf,forex
25/11/25,71274,14493,   -3220,   -6182,56781,deacmesf,forex
18/11/25,74494,20675,       7,    3593,53819,deacmesf,forex
10/11/25,74487,17082,    7294,    1102,57405,deacmesf,forex
04/11/25,67193,15980,   -8027,   -5410,51213,deacmesf,forex
28/10/25,75220,21390,    -684,     638,53830,deacmesf,forex
21/10/25,75904,20752,     123,    1080,55152,deacmesf,forex
14/10/25,75781,19672,   -4269,    -732,56109,deacmesf,forex
07/10/25,80050,20404,  -17733,    5179,59646,deacmesf,forex
30/09/25,97783,15225,   21060,    4001,82558,deacmesf,forex
23/09/25,76723,11224,    3891,     614,65499,deacmesf,forex
16/09/25,72832,10610,    5191,    -944,62222,deacmesf,forex
09/09/25,67641,11554,     397,  -22521,56087,deacmesf,forex
02/09/25,67244,34075,    2369,   -1884,33169,deacmesf,forex
26/08/25,64875,35959,    2927,    4421,28916,deacmesf,forex
19/08/25,61948,31538,    2560,   11732,30410,deacmesf,forex
12/08/25,59388,19806,    8179,   -6805,39582,deacmesf,forex
05/08/25,51209,26611,     363,    -313,24598,deacmesf,forex
29/07/25,50846,26924,   -7356,   -5421,23922,deacmesf,forex
22/07/25,58202,32345,   -2607,   -4292,25857,deacmesf,forex
15/07/25,60809,36637,   -4707,   20091,24172,deacmesf,forex
08/07/25,65516,16546,   -8725,   -5452,48970,deacmesf,forex
01/07/25,74241,21998,    7867,     354,52243,deacmesf,forex
24/06/25,66374,21644,   -8153,   -1191,44730,deacmesf,forex
17/06/25,74527,22835,   13206,     815,51692,deacmesf,forex
10/06/25,61321,22020,    6367,   -2141,39301,deacmesf,forex
03/06/25,54954,24161,   -7587,    8459,30793,deacmesf,forex
27/05/25,62541,15702,   10989,   -9561,46839,deacmesf,forex
20/05/25,51552,25263,  -10571,    6655,26289,deacmesf,forex
13/05/25,62123,18608,    1024,  -17530,43515,deacmesf,forex
06/05/25,61099,36138,  -19938,   23439,24961,deacmesf,forex
29/04/25,81037,12699,   17503,    -948,68338,deacmesf,forex
22/04/25,63534,13647,    -550,   -1405,49887,deacmesf,forex
15/04/25,64084,15052,   -2995,   -6912,49032,deacmesf,forex
08/04/25,67079,21964,   -2511,  -10591,45115,deacmesf,forex
01/04/25,69590,32555,    -440,    2874,37035,deacmesf,forex
25/03/25,70030,29681,    8090,    8462,40349,deacmesf,forex
18/03/25,61940,21219,   -7265,   -6133,40721,deacmesf,forex
11/03/25,69205,27352,   -4728,   -3414,41853,deacmesf,forex
04/03/25,73933,30766,   10054,  -30735,43167,deacmesf,forex
25/02/25,63879,61501,   13116,   11678,2378,deacmesf,forex
18/02/25,50763,49823,    9025,    9165,940,deacmesf,forex
11/02/25,41738,40658,    8336,    7498,1080,deacmesf,forex
04/02/25,33402,33160,   14030,  -24706,242,deacmesf,forex
28/01/25,19372,57866,   -1233,    3130,-38494,deacmesf,forex
21/01/25,20605,54736,     654,     -89,-34131,deacmesf,forex
14/01/25,19951,54825,   -2896,    -999,-34874,deacmesf,forex
07/01/25,22847,55824,   -8419,   -1016,-32977,deacmesf,forex
