Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,60714,116362,    4293,   27257,-55648,deacmesf,forex
31/03/26,56421,89105,   -5961,   25121,-32684,deacmesf,forex
24/03/26,62382,63984,   -4125,   -1637,-1602,deacmesf,forex
17/03/26,66507,65621,  -27392,    7881,886,deacmesf,forex
10/03/26,93899,57740,    -109,  -15218,36159,deacmesf,forex
03/03/26,94008,72958,    1196,    7724,21050,deacmesf,forex
24/02/26,92812,65234,    3211,    1459,27578,deacmesf,forex
17/02/26,89601,63775,    5047,   -7503,25826,deacmesf,forex
10/02/26,84554,71278,    7157,   -3989,13276,deacmesf,forex
03/02/26,77397,75267,     228,  -17948,2130,deacmesf,forex
27/01/26,77169,93215,   17713,   -8026,-16046,deacmesf,forex
20/01/26,59456,101241,   -3249,   -3714,-41785,deacmesf,forex
13/01/26,62705,104955,    5774,    7439,-42250,deacmesf,forex
06/01/26,56931,97516,    4144,    4218,-40585,deacmesf,forex
30/12/25,52787,93298,   11048,   -4234,-40511,deacmesf,forex
23/12/25,41739,97532,   16086,  -14761,-55793,deacmesf,forex
16/12/25,25653,112293,    9859,  -34101,-86640,deacmesf,forex
09/12/25,15794,146394,   -3253,  -22700,-130600,deacmesf,forex
02/12/25,19047,169094,   -2391,   -2758,-150047,deacmesf,forex
25/11/25,21438,171852,   -2814,   -1499,-150414,deacmesf,forex
18/11/25,24252,173351,    1101,   -7435,-149099,deacmesf,forex
10/11/25,23151,180786,   -4035,   -5912,-157635,deacmesf,forex
04/11/25,27186,186698,   -1180,    8288,-159512,deacmesf,forex
28/10/25,28366,178410,     268,    5204,-150044,deacmesf,forex
21/10/25,28098,173206,     936,    8451,-145108,deacmesf,forex
14/10/25,27162,164755,   -2352,   -1477,-137593,deacmesf,forex
07/10/25,29514,166232,    -406,   16407,-136718,deacmesf,forex
30/09/25,29920,149825,   11885,   16984,-119905,deacmesf,forex
23/09/25,18035,132841,   -2940,    4689,-114806,deacmesf,forex
16/09/25,20975,128152,    2271,     531,-107177,deacmesf,forex
09/09/25,18704,127621,    2120,    2061,-108917,deacmesf,forex
02/09/25,16584,125560,   -3813,     148,-108976,deacmesf,forex
26/08/25,20397,125412,    1369,   13305,-105015,deacmesf,forex
19/08/25,19028,112107,   -1870,    1132,-93079,deacmesf,forex
12/08/25,20898,110975,   -2691,    7966,-90077,deacmesf,forex
05/08/25,23589,103009,    2705,    5692,-79420,deacmesf,forex
29/07/25,20884,97317,   -2202,    3888,-76433,deacmesf,forex
22/07/25,23086,93429,    1162,   -2589,-70343,deacmesf,forex
15/07/25,21924,96018,    1580,    4066,-74094,deacmesf,forex
08/07/25,20344,91952,   -1805,    6351,-71608,deacmesf,forex
01/07/25,22149,85601,   -3118,    7167,-63452,deacmesf,forex
24/06/25,25267,78434,   -2887,  -16053,-53167,deacmesf,forex
17/06/25,28154,94487,    8503,  -18307,-66333,deacmesf,forex
10/06/25,19651,112794,     984,  -14319,-93143,deacmesf,forex
03/06/25,18667,127113,   -1751,    2797,-108446,deacmesf,forex
27/05/25,20418,124316,   -2211,   -2174,-103898,deacmesf,forex
20/05/25,22629,126490,    -621,   21084,-103861,deacmesf,forex
13/05/25,23250,105406,    6573,   18084,-82156,deacmesf,forex
06/05/25,16677,87322,     631,    4071,-70645,deacmesf,forex
29/04/25,16046,83251,   -2311,   -2273,-67205,deacmesf,forex
22/04/25,18357,85524,      92,  -16601,-67167,deacmesf,forex
15/04/25,18265,102125,    2236,  -33145,-83860,deacmesf,forex
08/04/25,16029,135270,   -1577,  -12352,-119241,deacmesf,forex
01/04/25,17606,147622,    -342,     140,-130016,deacmesf,forex
25/03/25,17948,147482,    -141,   -7189,-129534,deacmesf,forex
18/03/25,18089,154671,   -1108,   -6936,-136582,deacmesf,forex
11/03/25,19197,161607,   -2978,   -4338,-142410,deacmesf,forex
04/03/25,22175,165945,    1652,    7516,-143770,deacmesf,forex
25/02/25,20523,158429,    -753,   -7490,-137906,deacmesf,forex
18/02/25,21276,165919,    3365,   -2826,-144643,deacmesf,forex
11/02/25,17911,168745,   -2510,  -12120,-150834,deacmesf,forex
04/02/25,20421,180865,    -798,   12045,-160444,deacmesf,forex
28/01/25,21219,168820,    1716,   -1470,-147601,deacmesf,forex
21/01/25,19503,170290,   -3528,  -19894,-150787,deacmesf,forex
14/01/25,23031,190184,    3917,   -7519,-167153,deacmesf,forex
07/01/25,19114,197703,   -1770,    1111,-178589,deacmesf,forex
