Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,10586,41280,    1271,    2094,-30694,deacmesf,forex
31/03/26,9315,39186,    1484,    4258,-29871,deacmesf,forex
24/03/26,7831,34928,    -344,    1540,-27097,deacmesf,forex
17/03/26,8175,33388,   -3977,  -19856,-25213,deacmesf,forex
10/03/26,12152,53244,    -238,    -429,-41092,deacmesf,forex
03/03/26,12390,53673,     865,     962,-41283,deacmesf,forex
24/02/26,11525,52711,    1453,    1758,-41186,deacmesf,forex
17/02/26,10072,50953,     472,    -906,-40881,deacmesf,forex
10/02/26,9600,51859,     -87,    1455,-42259,deacmesf,forex
03/02/26,9687,50404,     -37,   -2213,-40717,deacmesf,forex
27/01/26,9724,52617,   -2533,   -2847,-42893,deacmesf,forex
20/01/26,12257,55464,   -1138,   -1323,-43207,deacmesf,forex
13/01/26,13395,56787,    2318,    5444,-43392,deacmesf,forex
06/01/26,11077,51343,    2167,   -1765,-40266,deacmesf,forex
30/12/25,8910,53108,     130,     339,-44198,deacmesf,forex
23/12/25,8780,52769,    -668,    4414,-43989,deacmesf,forex
16/12/25,9448,48355,     992,    1296,-38907,deacmesf,forex
09/12/25,8456,47059,    1562,    4380,-38603,deacmesf,forex
02/12/25,6894,42679,    -677,    -252,-35785,deacmesf,forex
25/11/25,7571,42931,   -1175,    2000,-35360,deacmesf,forex
18/11/25,8746,40931,    1343,   -2521,-32185,deacmesf,forex
10/11/25,7403,43452,   -1406,    2756,-36049,deacmesf,forex
04/11/25,8809,40696,    -340,    3689,-31887,deacmesf,forex
28/10/25,9149,37007,    1783,    1797,-27858,deacmesf,forex
21/10/25,7366,35210,   -1041,   -1403,-27844,deacmesf,forex
14/10/25,8407,36613,     839,    1575,-28206,deacmesf,forex
07/10/25,7568,35038,    -809,     599,-27470,deacmesf,forex
30/09/25,8377,34439,     150,    3194,-26062,deacmesf,forex
23/09/25,8227,31245,    1992,   -1030,-23018,deacmesf,forex
16/09/25,6235,32275,    -754,   -3553,-26040,deacmesf,forex
09/09/25,6989,35828,   -1412,    1539,-28839,deacmesf,forex
02/09/25,8401,34289,    1742,     652,-25888,deacmesf,forex
26/08/25,6659,33637,     200,    -100,-26978,deacmesf,forex
19/08/25,6459,33737,     368,    -397,-27278,deacmesf,forex
12/08/25,6091,34134,    -715,     -49,-28043,deacmesf,forex
05/08/25,6806,34183,   -2217,    1126,-27377,deacmesf,forex
29/07/25,9023,33057,     936,   -1095,-24034,deacmesf,forex
22/07/25,8087,34152,   -1872,    1556,-26065,deacmesf,forex
15/07/25,9959,32596,    1471,    1912,-22637,deacmesf,forex
08/07/25,8488,30684,    1388,    -269,-22196,deacmesf,forex
01/07/25,7100,30953,   -1084,    1825,-23853,deacmesf,forex
24/06/25,8184,29128,     327,    1215,-20944,deacmesf,forex
17/06/25,7857,27913,   -1383,   -2595,-20056,deacmesf,forex
10/06/25,9240,30508,    2095,   -2703,-21268,deacmesf,forex
03/06/25,7145,33211,    1356,    1939,-26066,deacmesf,forex
27/05/25,5789,31272,   -1843,    -127,-25483,deacmesf,forex
20/05/25,7632,31399,     189,     887,-23767,deacmesf,forex
13/05/25,7443,30512,    1885,    1380,-23069,deacmesf,forex
06/05/25,5558,29132,      -9,    -749,-23574,deacmesf,forex
29/04/25,5567,29881,     245,    -915,-24314,deacmesf,forex
22/04/25,5322,30796,      42,   -3068,-25474,deacmesf,forex
15/04/25,5280,33864,     932,    -761,-28584,deacmesf,forex
08/04/25,4348,34625,     205,  -12282,-30277,deacmesf,forex
01/04/25,4143,46907,     -35,    5136,-42764,deacmesf,forex
25/03/25,4178,41771,      91,    3309,-37593,deacmesf,forex
18/03/25,4087,38462,   -1042,   -3624,-34375,deacmesf,forex
11/03/25,5129,42086,    -443,   -1261,-36957,deacmesf,forex
04/03/25,5572,43347,     553,   -1132,-37775,deacmesf,forex
25/02/25,5019,44479,   -2028,    -927,-39460,deacmesf,forex
18/02/25,7047,45406,    1494,    1108,-38359,deacmesf,forex
11/02/25,5553,44298,     311,   -3202,-38745,deacmesf,forex
04/02/25,5242,47500,     246,    -496,-42258,deacmesf,forex
28/01/25,4996,47996,   -1530,    -367,-43000,deacmesf,forex
21/01/25,6526,48363,   -1031,    2105,-41837,deacmesf,forex
14/01/25,7557,46258,    -311,     502,-38701,deacmesf,forex
07/01/25,7868,45756,   -2639,    2436,-37888,deacmesf,forex
