Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,200946,208487,     778,    8826,-7541,deacmesf,forex
31/03/26,200168,199661,     143,    8915,507,deacmesf,forex
24/03/26,200025,190746,  -12861,   -1008,9279,deacmesf,forex
17/03/26,212886,191754,  -52800,   31212,21132,deacmesf,forex
10/03/26,265686,160542,  -28900,    2454,105144,deacmesf,forex
03/03/26,294586,158088,    -287,   20071,136498,deacmesf,forex
24/02/26,294873,138017,  -16676,     948,156856,deacmesf,forex
17/02/26,311549,137069,   -7155,   -1330,174480,deacmesf,forex
10/02/26,318704,138399,   16403,    -541,180305,deacmesf,forex
03/02/26,302301,138940,   11965,  -19262,163361,deacmesf,forex
27/01/26,290336,158202,   15101,   -5338,132134,deacmesf,forex
20/01/26,275235,163540,   -8357,   12604,111695,deacmesf,forex
13/01/26,283592,150936,  -14661,   15495,132656,deacmesf,forex
06/01/26,298253,135441,    3515,   -1832,162812,deacmesf,forex
30/12/25,294738,137273,    1559,    3985,157465,deacmesf,forex
23/12/25,293179,133288,   16177,    1189,159891,deacmesf,forex
16/12/25,277002,132099,    8884,    2769,144903,deacmesf,forex
09/12/25,268118,129330,   18446,  -11889,138788,deacmesf,forex
02/12/25,249672,141219,    5280,   -9102,108453,deacmesf,forex
25/11/25,244392,150321,     431,    5367,94071,deacmesf,forex
18/11/25,243961,144954,    8041,  -17377,99007,deacmesf,forex
10/11/25,235920,162331,  -16622,    1584,73589,deacmesf,forex
04/11/25,252542,160747,    2142,   17680,91795,deacmesf,forex
28/10/25,250400,143067,    5893,   10312,107333,deacmesf,forex
21/10/25,244507,132755,    1497,   -1930,111752,deacmesf,forex
14/10/25,243010,134685,  -12897,   -2857,108325,deacmesf,forex
07/10/25,255907,137542,    3377,    2381,118365,deacmesf,forex
30/09/25,252530,135161,      58,   -2966,117369,deacmesf,forex
23/09/25,252472,138127,    -789,    2625,114345,deacmesf,forex
16/09/25,253261,135502,   -4788,    3130,117759,deacmesf,forex
09/09/25,258049,132372,    2389,   -3696,125677,deacmesf,forex
02/09/25,255660,136068,   -2726,     721,119592,deacmesf,forex
26/08/25,258386,135347,    5667,    1373,123039,deacmesf,forex
19/08/25,252719,133974,    6420,    3106,118745,deacmesf,forex
12/08/25,246299,130868,   -1058,    -530,115431,deacmesf,forex
05/08/25,247357,131398,   -1484,    5916,115959,deacmesf,forex
29/07/25,248841,125482,     461,    2617,123359,deacmesf,forex
22/07/25,248380,122865,    6284,    8990,125515,deacmesf,forex
15/07/25,242096,113875,     971,   -6654,128221,deacmesf,forex
08/07/25,241125,120529,   16146,    3087,120596,deacmesf,forex
01/07/25,224979,117442,    1188,    4786,107537,deacmesf,forex
24/06/25,223791,112656,    2980,   -6602,111135,deacmesf,forex
17/06/25,220811,119258,   12057,    3529,101553,deacmesf,forex
10/06/25,208754,115729,    5968,   -4293,93025,deacmesf,forex
03/06/25,202786,120022,   -1540,   -4830,82764,deacmesf,forex
27/05/25,204326,124852,   -1716,   -6737,79474,deacmesf,forex
20/05/25,206042,131589,   -3507,    6814,74453,deacmesf,forex
13/05/25,209549,124775,   15357,    6302,84774,deacmesf,forex
06/05/25,194192,118473,   -2196,   -2118,75719,deacmesf,forex
29/04/25,196388,120591,     183,  -10586,75797,deacmesf,forex
22/04/25,196205,131177,    -898,    3354,65028,deacmesf,forex
15/04/25,197103,127823,    6807,   -2493,69280,deacmesf,forex
08/04/25,190296,130316,    7049,   -1096,59980,deacmesf,forex
01/04/25,183247,131412,   -6549,    7141,51835,deacmesf,forex
25/03/25,189796,124271,     844,   -5256,65525,deacmesf,forex
18/03/25,188952,129527,     305,  -46030,59425,deacmesf,forex
11/03/25,188647,175557,    3424,  -19772,13090,deacmesf,forex
04/03/25,185223,195329,    2524,  -12795,-10106,deacmesf,forex
25/02/25,182699,208124,   12379,  -13616,-25425,deacmesf,forex
18/02/25,170320,221740,    4726,   -8279,-51420,deacmesf,forex
11/02/25,165594,230019,    3040,    8851,-64425,deacmesf,forex
04/02/25,162554,221168,    8894,     904,-58614,deacmesf,forex
28/01/25,153660,220264,  -14005,   -9887,-66604,deacmesf,forex
21/01/25,167665,230151,    4905,    6994,-62486,deacmesf,forex
14/01/25,162760,223157,   -3743,   -7470,-60397,deacmesf,forex
07/01/25,166503,230627,   -2303,   -7743,-64124,deacmesf,forex
