Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,47344,103698,   -3960,    -271,-56354,deacmesf,forex
31/03/26,51304,103969,    4845,    -912,-52665,deacmesf,forex
24/03/26,46459,104881,    2166,   -4927,-58422,deacmesf,forex
17/03/26,44293,109808,   -4977,  -23659,-65515,deacmesf,forex
10/03/26,49270,133467,  -10229,    1282,-84197,deacmesf,forex
03/03/26,59499,132185,   -7714,    7900,-72686,deacmesf,forex
24/02/26,67213,124285,  -14802,    -134,-57072,deacmesf,forex
17/02/26,82015,124419,   -6358,   10236,-42404,deacmesf,forex
10/02/26,88373,114183,   -6520,    5379,-25810,deacmesf,forex
03/02/26,94893,108804,    7107,    4856,-13911,deacmesf,forex
27/01/26,87786,103948,    6454,     636,-16162,deacmesf,forex
20/01/26,81332,103312,    2329,    -961,-21980,deacmesf,forex
13/01/26,79003,104273,    2517,   -2751,-25270,deacmesf,forex
06/01/26,76486,107024,    6994,    4325,-30538,deacmesf,forex
30/12/25,69492,102699,    5952,   -2040,-33207,deacmesf,forex
23/12/25,63540,104739,    1572,   -5727,-41199,deacmesf,forex
16/12/25,61968,110466,    1649,  -25368,-48498,deacmesf,forex
09/12/25,60319,135834,    8067,    3402,-75515,deacmesf,forex
02/12/25,52252,132432,    6995,   -6046,-80180,deacmesf,forex
25/11/25,45257,138478,   -7932,    6032,-93221,deacmesf,forex
18/11/25,53189,132446,     766,    -981,-79257,deacmesf,forex
10/11/25,52423,133427,  -10694,   15291,-81004,deacmesf,forex
04/11/25,63117,118136,  -19354,   15403,-55019,deacmesf,forex
28/10/25,82471,102733,    7052,   10539,-20262,deacmesf,forex
21/10/25,75419,92194,   -4096,    1050,-16775,deacmesf,forex
14/10/25,79515,91144,  -14896,   -7743,-11629,deacmesf,forex
07/10/25,94411,98887,   13871,    9453,-4476,deacmesf,forex
30/09/25,80540,89434,   -3960,    2970,-8894,deacmesf,forex
23/09/25,84500,86464,    3704,    -912,-1964,deacmesf,forex
16/09/25,80796,87376,    5947,  -21078,-6580,deacmesf,forex
09/09/25,74849,108454,   -1213,    -748,-33605,deacmesf,forex
02/09/25,76062,109202,      61,    1848,-33140,deacmesf,forex
26/08/25,76001,107354,   -5302,     866,-31353,deacmesf,forex
19/08/25,81303,106488,    7567,   -6341,-25185,deacmesf,forex
12/08/25,73736,112829,    8101,   13891,-39093,deacmesf,forex
05/08/25,65635,98938,  -22164,    -889,-33303,deacmesf,forex
29/07/25,87799,99827,   -5961,    6637,-12028,deacmesf,forex
22/07/25,93760,93190,   -7220,   21401,570,deacmesf,forex
15/07/25,100980,71789,   -7039,   -3036,29191,deacmesf,forex
08/07/25,108019,74825,     869,    -926,33194,deacmesf,forex
01/07/25,107150,75751,    7302,   10298,31399,deacmesf,forex
24/06/25,99848,65453,   -6434,    2028,34395,deacmesf,forex
17/06/25,106282,63425,   -4794,    3983,42857,deacmesf,forex
10/06/25,111076,59442,    7404,   -9015,51634,deacmesf,forex
03/06/25,103672,68457,    1281,    1445,35215,deacmesf,forex
27/05/25,102391,67012,   14247,    2861,35379,deacmesf,forex
20/05/25,88144,64151,   -1396,    1827,23993,deacmesf,forex
13/05/25,89540,62324,   -4844,   -2825,27216,deacmesf,forex
06/05/25,94384,65149,    3320,   -1956,29235,deacmesf,forex
29/04/25,91064,67105,   -2957,   -6426,23959,deacmesf,forex
22/04/25,94021,73531,    8313,   -5668,20490,deacmesf,forex
15/04/25,85708,79199,   -6025,    4776,6509,deacmesf,forex
08/04/25,91733,74423,  -13253,    4063,17310,deacmesf,forex
01/04/25,104986,70360,   -4030,    5627,34626,deacmesf,forex
25/03/25,109016,64733,   13075,   -1806,44283,deacmesf,forex
18/03/25,95941,66539,    1155,     946,29402,deacmesf,forex
11/03/25,94786,65593,   12920,    2301,29193,deacmesf,forex
04/03/25,81866,63292,    7777,   -6334,18574,deacmesf,forex
25/02/25,74089,69626,     525,   -4517,4463,deacmesf,forex
18/02/25,73564,74143,    4477,    1888,-579,deacmesf,forex
11/02/25,69087,72255,    3645,   -4510,-3168,deacmesf,forex
04/02/25,65442,76765,    6111,   -4238,-11323,deacmesf,forex
28/01/25,59331,81003,  -16365,   -2950,-21672,deacmesf,forex
21/01/25,75696,83953,   -4861,    3834,-8257,deacmesf,forex
14/01/25,80557,80119,    -786,   13282,438,deacmesf,forex
07/01/25,81343,66837,   -4859,    1470,14506,deacmesf,forex
