Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,91560,185302,   -3796,   17074,-93742,deacmesf,forex
31/03/26,95356,168228,   -2915,    7151,-72872,deacmesf,forex
24/03/26,98271,161077,   -8548,  -13522,-62806,deacmesf,forex
17/03/26,106819,174599,  -12592,   13801,-67780,deacmesf,forex
10/03/26,119411,160798,  -15534,    9278,-41387,deacmesf,forex
03/03/26,134945,151520,  -14419,   13695,-16575,deacmesf,forex
24/02/26,149364,137825,    6192,    7608,11539,deacmesf,forex
17/02/26,143172,130217,   15082,  -16979,12955,deacmesf,forex
10/02/26,128090,147196,   13662,   13546,-19106,deacmesf,forex
03/02/26,114428,133650,    9968,   -4743,-19222,deacmesf,forex
27/01/26,104460,138393,   -2679,  -13575,-33933,deacmesf,forex
20/01/26,107139,151968,   -4604,   -4939,-44829,deacmesf,forex
13/01/26,111743,156907,  -28698,   25281,-45164,deacmesf,forex
06/01/26,140441,131626,   -4155,    1098,8815,deacmesf,forex
30/12/25,144596,130528,    3463,   -9382,14068,deacmesf,forex
23/12/25,141133,139910,   -5142,   -9307,1223,deacmesf,forex
16/12/25,146275,149217,  -38213,  -17823,-2942,deacmesf,forex
09/12/25,184488,167040,    -470,   18500,17448,deacmesf,forex
02/12/25,184958,148540,   15740,    5839,36418,deacmesf,forex
25/11/25,169218,142701,    -672,    3968,26517,deacmesf,forex
18/11/25,169890,138733,   -2459,   14860,31157,deacmesf,forex
10/11/25,172349,123873,    2169,    4958,48476,deacmesf,forex
04/11/25,170180,118915,   -8565,    8285,51265,deacmesf,forex
28/10/25,178745,110630,    3021,    5320,68115,deacmesf,forex
21/10/25,175724,105310,   15085,  -18163,70414,deacmesf,forex
14/10/25,160639,123473,    1442,   10583,37166,deacmesf,forex
07/10/25,159197,112890,   -8614,    6544,46307,deacmesf,forex
30/09/25,167811,106346,   -8589,    9446,61465,deacmesf,forex
23/09/25,176400,96900,   14727,   -3362,79500,deacmesf,forex
16/09/25,161673,100262,  -19051,   11181,61411,deacmesf,forex
09/09/25,180724,89081,    5950,  -12435,91643,deacmesf,forex
02/09/25,174774,101516,    4009,   15235,73258,deacmesf,forex
26/08/25,170765,86281,    2402,   -4501,84484,deacmesf,forex
19/08/25,168363,90782,    3670,     323,77581,deacmesf,forex
12/08/25,164693,90459,    4435,   12207,74234,deacmesf,forex
05/08/25,160258,78252,   -1864,    5373,82006,deacmesf,forex
29/07/25,162122,72879,   -2289,   15113,89243,deacmesf,forex
22/07/25,164411,57766,   -1033,   -4096,106645,deacmesf,forex
15/07/25,165444,61862,    -748,   11825,103582,deacmesf,forex
08/07/25,166192,50037,   -4432,    6751,116155,deacmesf,forex
01/07/25,170624,43286,   -7779,   -2840,127338,deacmesf,forex
24/06/25,178403,46126,    2802,    1402,132277,deacmesf,forex
17/06/25,175601,44724,   -8594,    5124,130877,deacmesf,forex
10/06/25,184195,39600,   -5319,    1235,144595,deacmesf,forex
03/06/25,189514,38365,   -2288,   10575,151149,deacmesf,forex
27/05/25,191802,27790,   -2708,     610,164012,deacmesf,forex
20/05/25,194510,27180,     284,    5222,167330,deacmesf,forex
13/05/25,194226,21958,   -9782,   -5191,172268,deacmesf,forex
06/05/25,204008,27149,    1211,    3564,176859,deacmesf,forex
29/04/25,202797,23585,     424,    -974,179212,deacmesf,forex
22/04/25,202373,24559,    3813,   -2146,177814,deacmesf,forex
15/04/25,198560,26705,   22005,   -2783,171855,deacmesf,forex
08/04/25,176555,29488,   14989,  -10304,147067,deacmesf,forex
01/04/25,161566,39792,    1092,    4694,121774,deacmesf,forex
25/03/25,160474,35098,   -4278,   -6690,125376,deacmesf,forex
18/03/25,164752,41788,  -12038,   -1100,122964,deacmesf,forex
11/03/25,176790,42888,   -7165,   -7416,133902,deacmesf,forex
04/03/25,183955,50304,   12204,  -25467,133651,deacmesf,forex
25/02/25,171751,75771,   24185,  -11226,95980,deacmesf,forex
18/02/25,147566,86997,    3408,   -2546,60569,deacmesf,forex
11/02/25,144158,89543,   39474,    3627,54615,deacmesf,forex
04/02/25,104684,85916,    7875,  -11852,18768,deacmesf,forex
28/01/25,96809,97768,    2652,  -11062,-959,deacmesf,forex
21/01/25,94157,108830,    2723,  -12015,-14673,deacmesf,forex
14/01/25,91434,120845,     228,    9450,-29411,deacmesf,forex
07/01/25,91206,111395,   -4913,    6833,-20189,deacmesf,forex
