Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,91055,33584,   -3128,   -2915,57471,deacmesf,forex
31/03/26,94183,36499,    1937,   18329,57684,deacmesf,forex
24/03/26,92246,18170,    1249,   -4367,74076,deacmesf,forex
17/03/26,90997,22537,  -21704,  -16353,68460,deacmesf,forex
10/03/26,112701,38890,  -13830,  -10598,73811,deacmesf,forex
03/03/26,126531,49488,     522,    6359,77043,deacmesf,forex
24/02/26,126009,43129,   -2188,    -946,82880,deacmesf,forex
17/02/26,128197,44075,    -163,     666,84122,deacmesf,forex
10/02/26,128360,43409,   -4032,    1609,84951,deacmesf,forex
03/02/26,132392,41800,  -16702,   -4180,90592,deacmesf,forex
27/01/26,149094,45980,   -4304,    -265,103114,deacmesf,forex
20/01/26,153398,46245,    -272,   -3867,107153,deacmesf,forex
13/01/26,153670,50112,   -7946,   -2203,103558,deacmesf,forex
06/01/26,161616,52315,    -624,   -3559,109301,deacmesf,forex
30/12/25,162240,55874,   -2745,   -7935,106366,deacmesf,forex
23/12/25,164985,63809,    6538,   -7526,101176,deacmesf,forex
16/12/25,158447,71335,    4719,   24583,87112,deacmesf,forex
09/12/25,153728,46752,    4626,   -3410,106976,deacmesf,forex
02/12/25,149102,50162,   22551,   18798,98940,deacmesf,forex
25/11/25,126551,31364,   -5614,   -4973,95187,deacmesf,forex
18/11/25,132165,36337,   13654,    3007,95828,deacmesf,forex
10/11/25,118511,33330,    5347,    6342,85181,deacmesf,forex
04/11/25,113164,26988,   -3325,   -7997,86176,deacmesf,forex
28/10/25,116489,34985,   16831,    8669,81504,deacmesf,forex
21/10/25,99658,26316,    3984,   -1797,73342,deacmesf,forex
14/10/25,95674,28113,  -20143,     -37,67561,deacmesf,forex
07/10/25,115817,28150,     561,    4777,87667,deacmesf,forex
30/09/25,115256,23373,    7910,    -540,91883,deacmesf,forex
23/09/25,107346,23913,   -5049,  -10489,83433,deacmesf,forex
16/09/25,112395,34402,    4892,     631,77993,deacmesf,forex
09/09/25,107503,33771,    5983,    5264,73732,deacmesf,forex
02/09/25,101520,28507,    4362,     347,73013,deacmesf,forex
26/08/25,97158,28160,    5184,     711,68998,deacmesf,forex
19/08/25,91974,27449,  -14565,  -17851,64525,deacmesf,forex
12/08/25,106539,45300,    1308,    8124,61239,deacmesf,forex
05/08/25,105231,37176,    6090,   -5287,68055,deacmesf,forex
29/07/25,99141,42463,      60,    -554,56678,deacmesf,forex
22/07/25,99081,43017,    6749,     807,56064,deacmesf,forex
15/07/25,92332,42210,   -5099,    -143,50122,deacmesf,forex
08/07/25,97431,42353,    9983,    9417,55078,deacmesf,forex
01/07/25,87448,32936,    3719,     518,54512,deacmesf,forex
24/06/25,83729,32418,   -9104,   -2388,51311,deacmesf,forex
17/06/25,92833,34806,   -6184,   -1485,58027,deacmesf,forex
10/06/25,99017,36291,    5616,    7339,62726,deacmesf,forex
03/06/25,93401,28952,    5108,    2061,64449,deacmesf,forex
27/05/25,88293,26891,   -1030,     100,61402,deacmesf,forex
20/05/25,89323,26791,    -868,    2306,62532,deacmesf,forex
13/05/25,90191,24485,    3576,    6425,65706,deacmesf,forex
06/05/25,86615,18060,    3328,   -5715,68555,deacmesf,forex
29/04/25,83287,23775,   15663,   -2684,59512,deacmesf,forex
22/04/25,67624,26459,      74,   -7822,41165,deacmesf,forex
15/04/25,67550,34281,  -12617,   -6804,33269,deacmesf,forex
08/04/25,80167,41085,   -6590,    5408,39082,deacmesf,forex
01/04/25,86757,35677,   -2720,    5239,51080,deacmesf,forex
25/03/25,89477,30438,   -4106,   -7193,59039,deacmesf,forex
18/03/25,93583,37631,   18064,   -7802,55952,deacmesf,forex
11/03/25,75519,45433,    9840,    -790,30086,deacmesf,forex
04/03/25,65679,46223,   -4658,    4616,19456,deacmesf,forex
25/02/25,70337,41607,    6485,   -7572,28730,deacmesf,forex
18/02/25,63852,49179,    4464,    5641,14673,deacmesf,forex
11/02/25,59388,43538,   -2071,   -5659,15850,deacmesf,forex
04/02/25,61459,49197,   14858,    7820,12262,deacmesf,forex
28/01/25,46601,41377,   -1384,   -8152,5224,deacmesf,forex
21/01/25,47985,49529,   -9203,   -1662,-1544,deacmesf,forex
14/01/25,57188,51191,   -2951,    3443,5997,deacmesf,forex
07/01/25,60139,47748,   -8319,     -39,12391,deacmesf,forex
