Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,12636,48711,    1973,    9460,-36075,deacmesf,forex
31/03/26,10663,39251,    -184,    1398,-28588,deacmesf,forex
24/03/26,10847,37853,    -151,    3798,-27006,deacmesf,forex
17/03/26,10998,34055,      54,  -14000,-23057,deacmesf,forex
10/03/26,10944,48055,   -2232,     545,-37111,deacmesf,forex
03/03/26,13176,47510,    -663,    4104,-34334,deacmesf,forex
24/02/26,13839,43406,    2656,   -2790,-29567,deacmesf,forex
17/02/26,11183,46196,    -618,    -524,-35013,deacmesf,forex
10/02/26,11801,46720,     -82,     543,-34919,deacmesf,forex
03/02/26,11883,46177,    -191,  -13642,-34294,deacmesf,forex
27/01/26,12074,59819,   -1596,   -3461,-47745,deacmesf,forex
20/01/26,13670,63280,    4057,    4816,-49610,deacmesf,forex
13/01/26,9613,58464,   -3358,    2130,-48851,deacmesf,forex
06/01/26,12971,56334,    4265,    4374,-43363,deacmesf,forex
30/12/25,8706,51960,    -890,   -1670,-43254,deacmesf,forex
23/12/25,9596,53630,    1467,   -2542,-44034,deacmesf,forex
16/12/25,8129,56172,   -6204,  -14942,-48043,deacmesf,forex
09/12/25,14333,71114,   -4061,    -396,-56781,deacmesf,forex
02/12/25,18394,71510,   -5083,   -4038,-53116,deacmesf,forex
25/11/25,23477,75548,    -734,    2080,-52071,deacmesf,forex
18/11/25,24211,73468,   -4466,     722,-49257,deacmesf,forex
10/11/25,28677,72746,    3363,   10020,-44069,deacmesf,forex
04/11/25,25314,62726,     984,    3430,-37412,deacmesf,forex
28/10/25,24330,59296,   -1148,   -2457,-34966,deacmesf,forex
21/10/25,25478,61753,    -121,    6413,-36275,deacmesf,forex
14/10/25,25599,55340,    2733,    8051,-29741,deacmesf,forex
07/10/25,22866,47289,    -716,    3082,-24423,deacmesf,forex
30/09/25,23582,44207,   11287,   10792,-20625,deacmesf,forex
23/09/25,12295,33415,    3044,    6160,-21120,deacmesf,forex
16/09/25,9251,27255,   -6228,    3033,-18004,deacmesf,forex
09/09/25,15479,24222,   -1983,     286,-8743,deacmesf,forex
02/09/25,17462,23936,     319,     688,-6474,deacmesf,forex
26/08/25,17143,23248,    4157,    6192,-6105,deacmesf,forex
19/08/25,12986,17056,    1826,    1209,-4070,deacmesf,forex
12/08/25,11160,15847,      75,     -71,-4687,deacmesf,forex
05/08/25,11085,15918,   -1995,     747,-4833,deacmesf,forex
29/07/25,13080,15171,    1125,      54,-2091,deacmesf,forex
22/07/25,11955,15117,   -4668,    2129,-3162,deacmesf,forex
15/07/25,16623,12988,   -2361,   -1075,3635,deacmesf,forex
08/07/25,18984,14063,     669,    -102,4921,deacmesf,forex
01/07/25,18315,14165,    -304,   -1684,4150,deacmesf,forex
24/06/25,18619,15849,    4048,       5,2770,deacmesf,forex
17/06/25,14571,15844,    5259,  -14703,-1273,deacmesf,forex
10/06/25,9312,30547,    -219,   -2658,-21235,deacmesf,forex
03/06/25,9531,33205,     438,    -274,-23674,deacmesf,forex
27/05/25,9093,33479,    -888,    -154,-24386,deacmesf,forex
20/05/25,9981,33633,    -226,     814,-23652,deacmesf,forex
13/05/25,10207,32819,      19,    -504,-22612,deacmesf,forex
06/05/25,10188,33323,   -1982,    -370,-23135,deacmesf,forex
29/04/25,12170,33693,    2273,   -3099,-21523,deacmesf,forex
22/04/25,9897,36792,    1136,   -5047,-26895,deacmesf,forex
15/04/25,8761,41839,     826,   -5248,-33078,deacmesf,forex
08/04/25,7935,47087,   -3229,   -9125,-39152,deacmesf,forex
01/04/25,11164,56212,   -2271,    1210,-45048,deacmesf,forex
25/03/25,13435,55002,   -2519,   -1396,-41567,deacmesf,forex
18/03/25,15954,56398,    -328,  -12815,-40444,deacmesf,forex
11/03/25,16282,69213,   -1561,   -4395,-52931,deacmesf,forex
04/03/25,17843,73608,    4215,    6271,-55765,deacmesf,forex
25/02/25,13628,67337,     580,    2126,-53709,deacmesf,forex
18/02/25,13048,65211,    1830,    4657,-52163,deacmesf,forex
11/02/25,11218,60554,    2891,    3137,-49336,deacmesf,forex
04/02/25,8327,57417,     429,    2488,-49090,deacmesf,forex
28/01/25,7898,54929,   -1040,   -5232,-47031,deacmesf,forex
21/01/25,8938,60161,   -1983,   -2849,-51223,deacmesf,forex
14/01/25,10921,63010,     482,   -2053,-52089,deacmesf,forex
07/01/25,10439,65063,   -2327,    3982,-54624,deacmesf,forex
