Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,23084,17573,    1376,    -454,5511,deanybtsf,forex
31/03/26,21708,18027,    1251,    1187,3681,deanybtsf,forex
24/03/26,20457,16840,    -969,    -893,3617,deanybtsf,forex
17/03/26,21426,17733,    5042,   -4533,3693,deanybtsf,forex
10/03/26,16384,22266,    1323,    2216,-5882,deanybtsf,forex
03/03/26,15061,20050,    1766,    4966,-4989,deanybtsf,forex
24/02/26,13295,15084,   -2121,      -4,-1789,deanybtsf,forex
17/02/26,15416,15088,    -715,   -1772,328,deanybtsf,forex
10/02/26,16131,16860,    -479,    -602,-729,deanybtsf,forex
03/02/26,16610,17462,   -1335,   -4888,-852,deanybtsf,forex
27/01/26,17945,22350,    1942,     -71,-4405,deanybtsf,forex
20/01/26,16003,22421,   -1926,     762,-6418,deanybtsf,forex
13/01/26,17929,21659,     258,     157,-3730,deanybtsf,forex
06/01/26,17671,21502,    1019,     890,-3831,deanybtsf,forex
30/12/25,16652,20612,     -36,     -97,-3960,deanybtsf,forex
23/12/25,16688,20709,     793,     219,-4021,deanybtsf,forex
16/12/25,15895,20490,    1117,   -8162,-4595,deanybtsf,forex
09/12/25,14778,28652,     334,   -2010,-13874,deanybtsf,forex
02/12/25,14444,30662,   -4004,   -4133,-16218,deanybtsf,forex
25/11/25,18448,34795,    1555,    1794,-16347,deanybtsf,forex
18/11/25,16893,33001,     889,    1370,-16108,deanybtsf,forex
10/11/25,16004,31631,    -641,    -576,-15627,deanybtsf,forex
04/11/25,16645,32207,    6038,    5474,-15562,deanybtsf,forex
28/10/25,10607,26733,    -530,     229,-16126,deanybtsf,forex
21/10/25,11137,26504,   -1142,    -708,-15367,deanybtsf,forex
14/10/25,12279,27212,    -177,    1611,-14933,deanybtsf,forex
07/10/25,12456,25601,    2730,    2239,-13145,deanybtsf,forex
30/09/25,9726,23362,   -4306,   -1014,-13636,deanybtsf,forex
23/09/25,14032,24376,    1541,   -1009,-10344,deanybtsf,forex
16/09/25,12491,25385,   -6701,     635,-12894,deanybtsf,forex
09/09/25,19192,24750,    5547,    6084,-5558,deanybtsf,forex
02/09/25,13645,18666,     487,    -597,-5021,deanybtsf,forex
26/08/25,13158,19263,    1799,    1916,-6105,deanybtsf,forex
19/08/25,11359,17347,   -1370,   -1629,-5988,deanybtsf,forex
12/08/25,12729,18976,    1330,     547,-6247,deanybtsf,forex
05/08/25,11399,18429,   -2561,     313,-7030,deanybtsf,forex
29/07/25,13960,18116,   -2965,   -2260,-4156,deanybtsf,forex
22/07/25,16925,20376,     663,     449,-3451,deanybtsf,forex
15/07/25,16262,19927,      54,    -267,-3665,deanybtsf,forex
08/07/25,16208,20194,    -665,    -961,-3986,deanybtsf,forex
01/07/25,16873,21155,    3590,    1838,-4282,deanybtsf,forex
24/06/25,13283,19317,      68,    3134,-6034,deanybtsf,forex
17/06/25,13215,16183,   -3812,     558,-2968,deanybtsf,forex
10/06/25,17027,15625,    1279,     494,1402,deanybtsf,forex
03/06/25,15748,15131,   -2658,   -3361,617,deanybtsf,forex
27/05/25,18406,18492,     823,     363,-86,deanybtsf,forex
20/05/25,17583,18129,    2044,    1975,-546,deanybtsf,forex
13/05/25,15539,16154,   -5712,   -6205,-615,deanybtsf,forex
06/05/25,21251,22359,    2158,    2817,-1108,deanybtsf,forex
29/04/25,19093,19542,     397,    -128,-449,deanybtsf,forex
22/04/25,18696,19670,    2974,    5776,-974,deanybtsf,forex
15/04/25,15722,13894,     235,    1320,1828,deanybtsf,forex
08/04/25,15487,12574,   -8153,   -4025,2913,deanybtsf,forex
01/04/25,23640,16599,     941,    1368,7041,deanybtsf,forex
25/03/25,22699,15231,    -958,   -1238,7468,deanybtsf,forex
18/03/25,23657,16469,   -4312,    5335,7188,deanybtsf,forex
11/03/25,27969,11134,     184,   -1913,16835,deanybtsf,forex
04/03/25,27785,13047,    1879,    2873,14738,deanybtsf,forex
25/02/25,25906,10174,    -823,     213,15732,deanybtsf,forex
18/02/25,26729,9961,     468,   -1004,16768,deanybtsf,forex
11/02/25,26261,10965,    1058,     301,15296,deanybtsf,forex
04/02/25,25203,10664,    -169,    -508,14539,deanybtsf,forex
28/01/25,25372,11172,   -3439,   -2767,14200,deanybtsf,forex
21/01/25,28811,13939,    -701,   -2844,14872,deanybtsf,forex
14/01/25,29512,16783,    1554,   -2530,12729,deanybtsf,forex
07/01/25,27958,19313,    1360,    -408,8645,deanybtsf,forex
