Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,10304,3121,   -1548,     256,7183,deacmesf,forex
31/03/26,11852,2865,    -654,     -78,8987,deacmesf,forex
24/03/26,12506,2943,    -125,     542,9563,deacmesf,forex
17/03/26,12631,2401,   -1322,   -4443,10230,deacmesf,forex
10/03/26,13953,6844,     705,     370,7109,deacmesf,forex
03/03/26,13248,6474,   -1857,      20,6774,deacmesf,forex
24/02/26,15105,6454,    -869,     436,8651,deacmesf,forex
17/02/26,15974,6018,     724,     293,9956,deacmesf,forex
10/02/26,15250,5725,    -743,    -588,9525,deacmesf,forex
03/02/26,15993,6313,   -1306,   -1904,9680,deacmesf,forex
27/01/26,17299,8217,     542,     -84,9082,deacmesf,forex
20/01/26,16757,8301,     332,   -1014,8456,deacmesf,forex
13/01/26,16425,9315,     228,    -976,7110,deacmesf,forex
06/01/26,16197,10291,     681,    -104,5906,deacmesf,forex
30/12/25,15516,10395,     608,     335,5121,deacmesf,forex
23/12/25,14908,10060,    1745,    -266,4848,deacmesf,forex
16/12/25,13163,10326,     391,    3292,2837,deacmesf,forex
09/12/25,12772,7034,    -163,     836,5738,deacmesf,forex
02/12/25,12935,6198,     101,     803,6737,deacmesf,forex
25/11/25,12834,5395,   -1351,   -1269,7439,deacmesf,forex
18/11/25,14185,6664,     612,     611,7521,deacmesf,forex
10/11/25,13573,6053,    -741,     232,7520,deacmesf,forex
04/11/25,14314,5821,   -1174,   -1018,8493,deacmesf,forex
28/10/25,15488,6839,      13,     339,8649,deacmesf,forex
21/10/25,15475,6500,     395,    -524,8975,deacmesf,forex
14/10/25,15080,7024,    -807,   -2114,8056,deacmesf,forex
07/10/25,15887,9138,    1915,    1076,6749,deacmesf,forex
30/09/25,13972,8062,     696,    3964,5910,deacmesf,forex
23/09/25,13276,4098,    -978,    -699,9178,deacmesf,forex
16/09/25,14254,4797,   -1856,    -112,9457,deacmesf,forex
09/09/25,16110,4909,     218,     327,11201,deacmesf,forex
02/09/25,15892,4582,     376,     297,11310,deacmesf,forex
26/08/25,15516,4285,     742,    1206,11231,deacmesf,forex
19/08/25,14774,3079,    -862,    -747,11695,deacmesf,forex
12/08/25,15636,3826,   -1875,     504,11810,deacmesf,forex
05/08/25,17511,3322,     614,    -549,14189,deacmesf,forex
29/07/25,16897,3871,    1193,     771,13026,deacmesf,forex
22/07/25,15704,3100,   -1063,     524,12604,deacmesf,forex
15/07/25,16767,2576,     136,      44,14191,deacmesf,forex
08/07/25,16631,2532,    1884,     427,14099,deacmesf,forex
01/07/25,14747,2105,     452,      79,12642,deacmesf,forex
24/06/25,14295,2026,   -2187,     -88,12269,deacmesf,forex
17/06/25,16482,2114,     222,   -2838,14368,deacmesf,forex
10/06/25,16260,4952,   -1429,    -639,11308,deacmesf,forex
03/06/25,17689,5591,    -986,    -423,12098,deacmesf,forex
27/05/25,18675,6014,     299,   -1219,12661,deacmesf,forex
20/05/25,18376,7233,   -1359,    -703,11143,deacmesf,forex
13/05/25,19735,7936,    6030,    1415,11799,deacmesf,forex
06/05/25,13705,6521,    1629,     328,7184,deacmesf,forex
29/04/25,12076,6193,   -1421,   -1196,5883,deacmesf,forex
22/04/25,13497,7389,    -128,     536,6108,deacmesf,forex
15/04/25,13625,6853,   -1443,    3614,6772,deacmesf,forex
08/04/25,15068,3239,   -3696,     550,11829,deacmesf,forex
01/04/25,18764,2689,     675,     395,16075,deacmesf,forex
25/03/25,18089,2294,    2386,    -516,15795,deacmesf,forex
18/03/25,15703,2810,   -4023,  -14806,12893,deacmesf,forex
11/03/25,19726,17616,   -1272,      38,2110,deacmesf,forex
04/03/25,20998,17578,   -3185,   -4972,3420,deacmesf,forex
25/02/25,24183,22550,    1056,    3372,1633,deacmesf,forex
18/02/25,23127,19178,    3216,     264,3949,deacmesf,forex
11/02/25,19911,18914,    8947,    4265,997,deacmesf,forex
04/02/25,10964,14649,    -160,     426,-3685,deacmesf,forex
28/01/25,11124,14223,     677,     -36,-3099,deacmesf,forex
21/01/25,10447,14259,   -2707,   -1340,-3812,deacmesf,forex
14/01/25,13154,15599,    -709,    -403,-2445,deacmesf,forex
07/01/25,13863,16002,   -5125,    -834,-2139,deacmesf,forex
