Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,5015,14589,   -1295,    3237,-9574,deacbtsf,index
31/03/26,6310,11352,     980,    -541,-5042,deacbtsf,index
24/03/26,5330,11893,   -9220,   -3377,-6563,deacbtsf,index
17/03/26,14550,15270,    -296,   -1692,-720,deacbtsf,index
10/03/26,14846,16962,   -4332,   -3556,-2116,deacbtsf,index
03/03/26,19178,20518,   -1046,    2734,-1340,deacbtsf,index
24/02/26,20224,17784,     152,   -3823,2440,deacbtsf,index
17/02/26,20072,21607,   -1677,    1323,-1535,deacbtsf,index
10/02/26,21749,20284,    1738,    1320,1465,deacbtsf,index
03/02/26,20011,18964,     -33,      64,1047,deacbtsf,index
27/01/26,20044,18900,    2392,   -2023,1144,deacbtsf,index
20/01/26,17652,20923,     304,    4212,-3271,deacbtsf,index
13/01/26,17348,16711,    2248,    5718,637,deacbtsf,index
06/01/26,15100,10993,    4624,      27,4107,deacbtsf,index
30/12/25,10476,10966,    -369,      -9,-490,deacbtsf,index
23/12/25,10845,10975,    1645,  -15199,-130,deacbtsf,index
16/12/25,9200,26174,    1217,      13,-16974,deacbtsf,index
09/12/25,7983,26161,    2011,     440,-18178,deacbtsf,index
02/12/25,5972,25721,    -128,   -1392,-19749,deacbtsf,index
25/11/25,6100,27113,   -2467,     485,-21013,deacbtsf,index
18/11/25,8567,26628,    -783,    3512,-18061,deacbtsf,index
10/11/25,9350,23116,   -1964,     104,-13766,deacbtsf,index
04/11/25,11314,23012,   -2461,      25,-11698,deacbtsf,index
28/10/25,13775,22987,     627,   -1422,-9212,deacbtsf,index
21/10/25,13148,24409,    3758,    1394,-11261,deacbtsf,index
14/10/25,9390,23015,   -1426,    -481,-13625,deacbtsf,index
07/10/25,10816,23496,    2429,     380,-12680,deacbtsf,index
30/09/25,8387,23116,   -4830,    9922,-14729,deacbtsf,index
23/09/25,13217,13194,    6036,   -3330,23,deacbtsf,index
16/09/25,7181,16524,   -3495,    4159,-9343,deacbtsf,index
09/09/25,10676,12365,    3158,     584,-1689,deacbtsf,index
02/09/25,7518,11781,   -3083,   -1423,-4263,deacbtsf,index
26/08/25,10601,13204,   -1844,   -2182,-2603,deacbtsf,index
19/08/25,12445,15386,    1470,    1907,-2941,deacbtsf,index
12/08/25,10975,13479,    1205,    -206,-2504,deacbtsf,index
05/08/25,9770,13685,   -2173,   -1203,-3915,deacbtsf,index
29/07/25,11943,14888,   -1611,    1936,-2945,deacbtsf,index
22/07/25,13554,12952,   -1992,     938,602,deacbtsf,index
15/07/25,15546,12014,     399,    1170,3532,deacbtsf,index
08/07/25,15147,10844,   -1242,     599,4303,deacbtsf,index
01/07/25,16389,10245,    1439,    1681,6144,deacbtsf,index
24/06/25,14950,8564,   -5226,    -430,6386,deacbtsf,index
17/06/25,20176,8994,    1536,     674,11182,deacbtsf,index
10/06/25,18640,8320,    1181,    1838,10320,deacbtsf,index
03/06/25,17459,6482,     892,    1093,10977,deacbtsf,index
27/05/25,16567,5389,    2450,    -581,11178,deacbtsf,index
20/05/25,14117,5970,     858,    -175,8147,deacbtsf,index
13/05/25,13259,6145,     565,    -754,7114,deacbtsf,index
06/05/25,12694,6899,    -508,    -754,5795,deacbtsf,index
29/04/25,13202,7653,    3579,   -1083,5549,deacbtsf,index
22/04/25,9623,8736,    1201,     555,887,deacbtsf,index
15/04/25,8422,8181,    -770,     309,241,deacbtsf,index
08/04/25,9192,7872,    -654,   -4578,1320,deacbtsf,index
01/04/25,9846,12450,     952,    -650,-2604,deacbtsf,index
25/03/25,8894,13100,   -1839,    3640,-4206,deacbtsf,index
18/03/25,10733,9460,   -2218,   -1419,1273,deacbtsf,index
11/03/25,12951,10879,   -2276,   -3238,2072,deacbtsf,index
04/03/25,15227,14117,   -1059,   -3080,1110,deacbtsf,index
25/02/25,16286,17197,    2054,    1921,-911,deacbtsf,index
18/02/25,14232,15276,      53,    3974,-1044,deacbtsf,index
11/02/25,14179,11302,     974,    -182,2877,deacbtsf,index
04/02/25,13205,11484,   -1498,   -1485,1721,deacbtsf,index
28/01/25,14703,12969,    1326,    1919,1734,deacbtsf,index
21/01/25,13377,11050,   -1302,   -2183,2327,deacbtsf,index
14/01/25,14679,13233,   -1043,     270,1446,deacbtsf,index
07/01/25,15722,12963,   -1686,     195,2759,deacbtsf,index
