Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,233095,278761,   -8294,   -5107,-45666,deacmesf,index
31/03/26,241389,283868,   27252,  -11160,-42479,deacmesf,index
24/03/26,214137,295028,    5606,  -26560,-80891,deacmesf,index
17/03/26,208531,321588,   10302,  -11146,-113057,deacmesf,index
10/03/26,198229,332734,  -10511,  -44222,-134505,deacmesf,index
03/03/26,208740,376956,    7329,  -17938,-168216,deacmesf,index
24/02/26,201411,394894,    4985,   20637,-193483,deacmesf,index
17/02/26,196426,374257,  -45952,   26750,-177831,deacmesf,index
10/02/26,242378,347507,   -6090,  -33902,-105129,deacmesf,index
03/02/26,248468,381409,    3026,   36180,-132941,deacmesf,index
27/01/26,245442,345229,   -1152,   16859,-99787,deacmesf,index
20/01/26,246594,328370,   -1092,  -41443,-81776,deacmesf,index
13/01/26,247686,369813,   20622,   36661,-122127,deacmesf,index
06/01/26,227064,333152,    2137,   13810,-106088,deacmesf,index
30/12/25,224927,319342,  -15597,   -3002,-94415,deacmesf,index
23/12/25,240524,322344,   -7443,  -91642,-81820,deacmesf,index
16/12/25,247967,413986,   20545,   -3881,-166019,deacmesf,index
09/12/25,227422,417867,    1021,   -4201,-190445,deacmesf,index
02/12/25,226401,422068,  -17529,   22860,-195667,deacmesf,index
25/11/25,243930,399208,   17175,   25048,-155278,deacmesf,index
18/11/25,226755,374160,   -1902,  -12427,-147405,deacmesf,index
10/11/25,228657,386587,    6923,     908,-157930,deacmesf,index
04/11/25,221734,385679,    1413,   15223,-163945,deacmesf,index
28/10/25,220321,370456,   -2516,    2269,-150135,deacmesf,index
21/10/25,222837,368187,    9011,  -11322,-145350,deacmesf,index
14/10/25,213826,379509,  -15191,    6401,-165683,deacmesf,index
07/10/25,229017,373108,    4815,   12217,-144091,deacmesf,index
30/09/25,224202,360891,   -3966,  -39826,-136689,deacmesf,index
23/09/25,228168,400717,    7586,  -44939,-172549,deacmesf,index
16/09/25,220582,445656,  -14504,   36905,-225074,deacmesf,index
09/09/25,235086,408751,   11556,   24161,-173665,deacmesf,index
02/09/25,223530,384590,    -135,  -26827,-161060,deacmesf,index
26/08/25,223665,411417,    2235,   18489,-187752,deacmesf,index
19/08/25,221430,392928,    -991,  -21550,-171498,deacmesf,index
12/08/25,222421,414478,   -9006,   43405,-192057,deacmesf,index
05/08/25,231427,371073,   -1314,  -24849,-139646,deacmesf,index
29/07/25,232741,395922,   12893,    7593,-163181,deacmesf,index
22/07/25,219848,388329,  -11201,  -10498,-168481,deacmesf,index
15/07/25,231049,398827,    -812,   26948,-167778,deacmesf,index
08/07/25,231861,371879,  -11602,   41607,-140018,deacmesf,index
01/07/25,243463,330272,   32015,  -25951,-86809,deacmesf,index
24/06/25,211448,356223,   -8618,  -37990,-144775,deacmesf,index
17/06/25,220066,394213,    3103,   49582,-174147,deacmesf,index
10/06/25,216963,344631,  -36235,   22018,-127668,deacmesf,index
03/06/25,253198,322613,   -6394,   10051,-69415,deacmesf,index
27/05/25,259592,312562,   13004,  -30595,-52970,deacmesf,index
20/05/25,246588,343157,    3297,  -22328,-96569,deacmesf,index
13/05/25,243291,365485,   -8060,   37729,-122194,deacmesf,index
06/05/25,251351,327756,   11255,    8994,-76405,deacmesf,index
29/04/25,240096,318762,  -20834,  -18103,-78666,deacmesf,index
22/04/25,260930,336865,    6724,   19562,-75935,deacmesf,index
15/04/25,254206,317303,  -67245,  -32835,-63097,deacmesf,index
08/04/25,321451,350138,   21085,   30750,-28687,deacmesf,index
01/04/25,300366,319388,   36612,    2272,-19022,deacmesf,index
25/03/25,263754,317116,  -79198,   42475,-53362,deacmesf,index
18/03/25,342952,274641,  -35973,  -23671,68311,deacmesf,index
11/03/25,378925,298312,   12415,  -36095,80613,deacmesf,index
04/03/25,366510,334407,   65561,     679,32103,deacmesf,index
25/02/25,300949,333728,  -12156,  -19343,-32779,deacmesf,index
18/02/25,313105,353071,  -20556,    2301,-39966,deacmesf,index
11/02/25,333661,350770,   26920,   39212,-17109,deacmesf,index
04/02/25,306741,311558,   54146,    2809,-4817,deacmesf,index
28/01/25,252595,308749,  -11220,  -30781,-56154,deacmesf,index
21/01/25,263815,339530,    7457,   52630,-75715,deacmesf,index
14/01/25,256358,286900,   -8309,  -39970,-30542,deacmesf,index
07/01/25,264667,326870,    4924,   10325,-62203,deacmesf,index
