Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,72637,32410,    1530,    1407,40227,deacmxsf,metals
31/03/26,71107,31003,    2616,      49,40104,deacmxsf,metals
24/03/26,68491,30954,  -10023,     484,37537,deacmxsf,metals
17/03/26,78514,30470,   -3859,    -237,48044,deacmxsf,metals
10/03/26,82373,30707,   -6730,    -715,51666,deacmxsf,metals
03/03/26,89103,31422,    1030,    1789,57681,deacmxsf,metals
24/02/26,88073,29633,   -1626,    -735,58440,deacmxsf,metals
17/02/26,89699,30368,   -4741,  -18199,59331,deacmxsf,metals
10/02/26,94440,48567,   -2967,   -1026,45873,deacmxsf,metals
03/02/26,97407,49593,   -3993,   -3417,47814,deacmxsf,metals
27/01/26,101400,53010,    -231,    3954,48390,deacmxsf,metals
20/01/26,101631,49056,    4216,    5082,52575,deacmxsf,metals
13/01/26,97415,43974,   -4309,     108,53441,deacmxsf,metals
06/01/26,101724,43866,   -1051,     930,57858,deacmxsf,metals
30/12/25,102775,42936,   -5303,    1946,59839,deacmxsf,metals
23/12/25,108078,40990,    -238,   -2500,67088,deacmxsf,metals
16/12/25,108316,43490,    1468,    -879,64826,deacmxsf,metals
09/12/25,106848,44369,    8016,   -1050,62479,deacmxsf,metals
02/12/25,98832,45419,    6712,   -3064,53413,deacmxsf,metals
25/11/25,92120,48483,   -7519,     803,43637,deacmxsf,metals
18/11/25,99639,47680,   -3069,     498,51959,deacmxsf,metals
10/11/25,102708,47182,    -304,     545,55526,deacmxsf,metals
04/11/25,103012,46637,    5110,   -2171,56375,deacmxsf,metals
28/10/25,97902,48808,    8136,     253,49094,deacmxsf,metals
21/10/25,89766,48555,   -3777,   -2361,41211,deacmxsf,metals
14/10/25,93543,50916,    1023,   -2535,42627,deacmxsf,metals
07/10/25,92520,53451,   13109,    6606,39069,deacmxsf,metals
30/09/25,79411,46845,    6660,    4324,32566,deacmxsf,metals
23/09/25,72751,42521,    3381,    3499,30230,deacmxsf,metals
16/09/25,69370,39022,    5077,    1970,30348,deacmxsf,metals
09/09/25,64293,37052,    3249,    1666,27241,deacmxsf,metals
02/09/25,61044,35386,    4282,    4854,25658,deacmxsf,metals
26/08/25,56762,30532,      71,    -127,26230,deacmxsf,metals
19/08/25,56691,30659,   -2111,      68,26032,deacmxsf,metals
12/08/25,58802,30591,    3873,   -3652,28211,deacmxsf,metals
05/08/25,54929,34243,  -19721,   -3060,20686,deacmxsf,metals
29/07/25,74650,37303,   -2987,    -512,37347,deacmxsf,metals
22/07/25,77637,37815,    2214,    3116,39822,deacmxsf,metals
15/07/25,75423,34699,   -5420,   -6540,40724,deacmxsf,metals
08/07/25,80843,41239,    6218,     304,39604,deacmxsf,metals
01/07/25,74625,40935,    3844,    -413,33690,deacmxsf,metals
24/06/25,70781,41348,    4243,   -1390,29433,deacmxsf,metals
17/06/25,66538,42738,   -5563,   -3012,23800,deacmxsf,metals
10/06/25,72101,45750,     852,   -1405,26351,deacmxsf,metals
03/06/25,71249,47155,    1305,    -208,24094,deacmxsf,metals
27/05/25,69944,47363,     929,    -614,22581,deacmxsf,metals
20/05/25,69015,47977,   -2911,   -2427,21038,deacmxsf,metals
13/05/25,71926,50404,     149,     330,21522,deacmxsf,metals
06/05/25,71777,50074,     165,   -2169,21703,deacmxsf,metals
29/04/25,71612,52243,   -6995,   -1599,19369,deacmxsf,metals
22/04/25,78607,53842,    3145,   -2143,24765,deacmxsf,metals
15/04/25,75462,55985,   -5751,    -987,19477,deacmxsf,metals
08/04/25,81213,56972,  -12888,   -7104,24241,deacmxsf,metals
01/04/25,94101,64076,  -11984,   -7905,30025,deacmxsf,metals
25/03/25,106085,71981,    5009,   -3903,34104,deacmxsf,metals
18/03/25,101076,75884,    6147,    -447,25192,deacmxsf,metals
11/03/25,94929,76331,    5942,     356,18598,deacmxsf,metals
04/03/25,88987,75975,   -2770,    3240,13012,deacmxsf,metals
25/02/25,91757,72735,   -9713,   -6672,19022,deacmxsf,metals
18/02/25,101470,79407,   -2562,   -3729,22063,deacmxsf,metals
11/02/25,104032,83136,   12030,    6555,20896,deacmxsf,metals
04/02/25,92002,76581,    5171,    2795,15421,deacmxsf,metals
28/01/25,86831,73786,   -2024,    1594,13045,deacmxsf,metals
21/01/25,88855,72192,    3951,    -874,16663,deacmxsf,metals
14/01/25,84904,73066,   -4682,  -12250,11838,deacmxsf,metals
07/01/25,89586,85316,    1286,   -2225,4270,deacmxsf,metals
