Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,205368,49063,   -2234,    4663,156305,deacmxsf,metals
31/03/26,207602,44400,  -13259,   -8134,163202,deacmxsf,metals
24/03/26,220861,52534,    4900,   -3558,168327,deacmxsf,metals
17/03/26,215961,56092,     516,    3779,159869,deacmxsf,metals
10/03/26,215445,52313,    1693,   -1294,163132,deacmxsf,metals
03/03/26,213752,53607,    2103,    1135,160145,deacmxsf,metals
24/02/26,211649,52472,   -1783,   -1045,159177,deacmxsf,metals
17/02/26,213432,53517,     624,     721,159915,deacmxsf,metals
10/02/26,212808,52796,   -1700,    3892,160012,deacmxsf,metals
03/02/26,214508,48904,  -37592,    2200,165604,deacmxsf,metals
27/01/26,252100,46704,  -43672,   -4298,205396,deacmxsf,metals
20/01/26,295772,51002,    -411,    6057,244770,deacmxsf,metals
13/01/26,296183,44945,   21748,   -1858,251238,deacmxsf,metals
06/01/26,274435,46803,   -1157,    2384,227632,deacmxsf,metals
30/12/25,275592,44419,  -14569,   -5042,231173,deacmxsf,metals
23/12/25,290161,49461,    9241,    2519,240700,deacmxsf,metals
16/12/25,280920,46942,   12435,    2343,233978,deacmxsf,metals
09/12/25,268485,44599,    7154,     828,223886,deacmxsf,metals
02/12/25,261331,43771,    8065,   -4907,217560,deacmxsf,metals
25/11/25,253266,48678,  -16290,  -10539,204588,deacmxsf,metals
18/11/25,269556,59217,    3640,     370,210339,deacmxsf,metals
10/11/25,265916,58847,    9344,    4582,207069,deacmxsf,metals
04/11/25,256572,54265,   -9736,   -7379,202307,deacmxsf,metals
28/10/25,266308,61644,   12457,  -15598,204664,deacmxsf,metals
21/10/25,253851,77242,  -24554,    2753,176609,deacmxsf,metals
14/10/25,278405,74489,  -22393,    5647,203916,deacmxsf,metals
07/10/25,300798,68842,  -18006,    2946,231956,deacmxsf,metals
30/09/25,318804,65896,  -14004,    -163,252908,deacmxsf,metals
23/09/25,332808,66059,    6030,    5691,266749,deacmxsf,metals
16/09/25,326778,60368,    1903,   -2767,266410,deacmxsf,metals
09/09/25,324875,63135,    9079,   -3131,261740,deacmxsf,metals
02/09/25,315796,66266,   40029,    4810,249530,deacmxsf,metals
26/08/25,275767,61456,     490,   -1231,214311,deacmxsf,metals
19/08/25,275277,62687,  -12838,    4057,212590,deacmxsf,metals
12/08/25,288115,58630,   -4079,    3486,229485,deacmxsf,metals
05/08/25,292194,55144,   10953,   -2501,237050,deacmxsf,metals
29/07/25,281241,57645,  -30708,   -1266,223596,deacmxsf,metals
22/07/25,311949,58911,   41722,    1799,253038,deacmxsf,metals
15/07/25,270227,57112,    8542,   -1605,213115,deacmxsf,metals
08/07/25,261685,58717,    3054,    2066,202968,deacmxsf,metals
01/07/25,258631,56651,    2554,   -4422,201980,deacmxsf,metals
24/06/25,256077,61073,   -4509,    1135,195004,deacmxsf,metals
17/06/25,260586,59938,   14591,    1424,200648,deacmxsf,metals
10/06/25,245995,58514,    -987,    -563,187481,deacmxsf,metals
03/06/25,246982,59077,   12895,    -826,187905,deacmxsf,metals
27/05/25,234087,59903,   -3975,  -14178,174184,deacmxsf,metals
20/05/25,238062,74081,    -129,   -2901,163981,deacmxsf,metals
13/05/25,238191,76982,     746,    2034,161209,deacmxsf,metals
06/05/25,237445,74948,   -2932,   -2111,162497,deacmxsf,metals
29/04/25,240377,77059,  -18519,   -6459,163318,deacmxsf,metals
22/04/25,258896,83518,  -12811,   14021,175378,deacmxsf,metals
15/04/25,271707,69497,    1874,     379,202210,deacmxsf,metals
08/04/25,269833,69118,  -58103,  -20384,200715,deacmxsf,metals
01/04/25,327936,89502,   11364,   22726,238434,deacmxsf,metals
25/03/25,316572,66776,   -5082,    3054,249796,deacmxsf,metals
18/03/25,321654,63722,   25482,    3650,257932,deacmxsf,metals
11/03/25,296172,60072,   -6960,     201,236100,deacmxsf,metals
04/03/25,303132,59871,  -13816,    4548,243261,deacmxsf,metals
25/02/25,316948,55323,  -17095,  -10046,261625,deacmxsf,metals
18/02/25,334043,65369,   -9723,    6107,268674,deacmxsf,metals
11/02/25,343766,59262,  -12734,    5270,284504,deacmxsf,metals
04/02/25,356500,53992,   18129,   15030,302508,deacmxsf,metals
28/01/25,338371,38962,    1082,    2457,299409,deacmxsf,metals
21/01/25,337289,36505,   24721,    3300,300784,deacmxsf,metals
14/01/25,312568,33205,   20847,   -3605,279363,deacmxsf,metals
07/01/25,291721,36810,    8814,    1182,254911,deacmxsf,metals
