Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,32810,9393,    -653,    -166,23417,deacmxsf,metals
31/03/26,33463,9559,    -475,     294,23904,deacmxsf,metals
24/03/26,33938,9265,    2813,      21,24673,deacmxsf,metals
17/03/26,31125,9244,   -2181,     516,21881,deacmxsf,metals
10/03/26,33306,8728,    -920,   -2160,24578,deacmxsf,metals
03/03/26,34226,10888,    1726,     648,23338,deacmxsf,metals
24/02/26,32500,10240,   -4126,   -2383,22260,deacmxsf,metals
17/02/26,36626,12623,     -34,   -1082,24003,deacmxsf,metals
10/02/26,36660,13705,   -2223,     699,22955,deacmxsf,metals
03/02/26,38883,13006,   -4592,   -6766,25877,deacmxsf,metals
27/01/26,43475,19772,     510,    2021,23703,deacmxsf,metals
20/01/26,42965,17751,   -4372,    2474,25214,deacmxsf,metals
13/01/26,47337,15277,     -47,   -2836,32060,deacmxsf,metals
06/01/26,47384,18113,   -3122,   -2330,29271,deacmxsf,metals
30/12/25,50506,20443,   -4737,    1084,30063,deacmxsf,metals
23/12/25,55243,19359,    -791,    -323,35884,deacmxsf,metals
16/12/25,56034,19682,   -9924,   -1567,36352,deacmxsf,metals
09/12/25,65958,21249,    6383,     193,44709,deacmxsf,metals
02/12/25,59575,21056,    7573,    1242,38519,deacmxsf,metals
25/11/25,52002,19814,   -2533,    -705,32188,deacmxsf,metals
18/11/25,54535,20519,    -503,   -1533,34016,deacmxsf,metals
10/11/25,55038,22052,     872,    1107,32986,deacmxsf,metals
04/11/25,54166,20945,   -1793,    2105,33221,deacmxsf,metals
28/10/25,55959,18840,   -4945,   -4805,37119,deacmxsf,metals
21/10/25,60904,23645,   -6137,    -215,37259,deacmxsf,metals
14/10/25,67041,23860,    -627,    2409,43181,deacmxsf,metals
07/10/25,67668,21451,   -2394,    1128,46217,deacmxsf,metals
30/09/25,70062,20323,   -2256,     281,49739,deacmxsf,metals
23/09/25,72318,20042,     695,     -43,52276,deacmxsf,metals
16/09/25,71623,20085,    -827,    1572,51538,deacmxsf,metals
09/09/25,72450,18513,   -2016,     -30,53937,deacmxsf,metals
02/09/25,74466,18543,    6239,   -3218,55923,deacmxsf,metals
26/08/25,68227,21761,     125,     208,46466,deacmxsf,metals
19/08/25,68102,21553,    1850,    -431,46549,deacmxsf,metals
12/08/25,66252,21984,   -4982,    1408,44268,deacmxsf,metals
05/08/25,71234,20576,   -9259,    -510,50658,deacmxsf,metals
29/07/25,80493,21086,   -5185,   -3972,59407,deacmxsf,metals
22/07/25,85678,25058,     656,    -516,60620,deacmxsf,metals
15/07/25,85022,25574,    4243,    3316,59448,deacmxsf,metals
08/07/25,80779,22258,   -1968,    2911,58521,deacmxsf,metals
01/07/25,82747,19347,   -1744,   -2197,63400,deacmxsf,metals
24/06/25,84491,21544,   -4503,    -276,62947,deacmxsf,metals
17/06/25,88994,21820,    3802,    3278,67174,deacmxsf,metals
10/06/25,85192,18542,    3211,   -2669,66650,deacmxsf,metals
03/06/25,81981,21211,    8741,     983,60770,deacmxsf,metals
27/05/25,73240,20228,    2349,    -621,53012,deacmxsf,metals
20/05/25,70891,20849,    2947,     659,50042,deacmxsf,metals
13/05/25,67944,20190,   -2391,    -893,47754,deacmxsf,metals
06/05/25,70335,21083,      36,     727,49252,deacmxsf,metals
29/04/25,70299,20356,    5606,     389,49943,deacmxsf,metals
22/04/25,64693,19967,    -375,   -1152,44726,deacmxsf,metals
15/04/25,65068,21119,   -3358,    -791,43949,deacmxsf,metals
08/04/25,68426,21910,  -17183,   -6441,46516,deacmxsf,metals
01/04/25,85609,28351,    -103,    3589,57258,deacmxsf,metals
25/03/25,85712,24762,   -1889,    -541,60950,deacmxsf,metals
18/03/25,87601,25303,    7636,    4864,62298,deacmxsf,metals
11/03/25,79965,20439,    6650,     440,59526,deacmxsf,metals
04/03/25,73315,19999,   -5154,   -5608,53316,deacmxsf,metals
25/02/25,78469,25607,   -6345,   -4753,52862,deacmxsf,metals
18/02/25,84814,30360,    5702,     958,54454,deacmxsf,metals
11/02/25,79112,29402,   -4008,   -3357,49710,deacmxsf,metals
04/02/25,83120,32759,    8464,    2471,50361,deacmxsf,metals
28/01/25,74656,30288,   -1004,    2108,44368,deacmxsf,metals
21/01/25,75660,28180,    4149,    2749,47480,deacmxsf,metals
14/01/25,71511,25431,    2619,   -2513,46080,deacmxsf,metals
07/01/25,68892,27944,    1885,   -1174,40948,deacmxsf,metals
