Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,212869,396856,    8730,   25261,-183987,deanymesf,other
31/03/26,204139,371595,   -6020,  -11171,-167456,deanymesf,other
24/03/26,210159,382766,   -6721,  -12143,-172607,deanymesf,other
17/03/26,216880,394909,    9250,     423,-178029,deanymesf,other
10/03/26,207630,394486,   -2847,  -22413,-186856,deanymesf,other
03/03/26,210477,416899,    9004,   16907,-206422,deanymesf,other
24/02/26,201473,399992,   -4380,    8327,-198519,deanymesf,other
17/02/26,205853,391665,   -2395,   11552,-185812,deanymesf,other
10/02/26,208248,380113,   -6851,   -7296,-171865,deanymesf,other
03/02/26,215099,387409,   -1013,    7691,-172310,deanymesf,other
27/01/26,216112,379718,  -25019,  -54903,-163606,deanymesf,other
20/01/26,241131,434621,  -29132,  -21243,-193490,deanymesf,other
13/01/26,270263,455864,   17007,   37049,-185601,deanymesf,other
06/01/26,253256,418815,   31540,   42205,-165559,deanymesf,other
30/12/25,221716,376610,   -9664,  -11090,-154894,deanymesf,other
23/12/25,231380,387700,   14445,   42728,-156320,deanymesf,other
16/12/25,216935,344972,    6040,   27598,-128037,deanymesf,other
09/12/25,210895,317374,    2207,  -17793,-106479,deanymesf,other
02/12/25,208688,335167,    6076,   -5848,-126479,deanymesf,other
25/11/25,202612,341015,  -12207,  -11523,-138403,deanymesf,other
18/11/25,214819,352538,   -3426,   -5736,-137719,deanymesf,other
10/11/25,218245,358274,  -19959,  -21469,-140029,deanymesf,other
04/11/25,238204,379743,  -14213,  -17970,-141539,deanymesf,other
28/10/25,252417,397713,  -14083,  -27566,-145296,deanymesf,other
21/10/25,266500,425279,    6481,   13147,-158779,deanymesf,other
14/10/25,260019,412132,    3251,   13403,-152113,deanymesf,other
07/10/25,256768,398729,  -13465,    3296,-141961,deanymesf,other
30/09/25,270233,395433,   -9880,  -12764,-125200,deanymesf,other
23/09/25,280113,408197,   -3328,   13812,-128084,deanymesf,other
16/09/25,283441,394385,     446,   16843,-110944,deanymesf,other
09/09/25,282995,377542,   -1277,   -9506,-94547,deanymesf,other
02/09/25,284272,387048,    2359,    1189,-102776,deanymesf,other
26/08/25,281913,385859,    2866,    1724,-103946,deanymesf,other
19/08/25,279047,384135,  -11998,   -3956,-105088,deanymesf,other
12/08/25,291045,388091,   17941,   21222,-97046,deanymesf,other
05/08/25,273104,366869,      77,    8089,-93765,deanymesf,other
29/07/25,273027,358780,    5157,   13310,-85753,deanymesf,other
22/07/25,267870,345470,   -6776,   -3226,-77600,deanymesf,other
15/07/25,274646,348696,   17698,    3957,-74050,deanymesf,other
08/07/25,256948,344739,    4767,    -288,-87791,deanymesf,other
01/07/25,252181,345027,   15097,   14127,-92846,deanymesf,other
24/06/25,237084,330900,   -1996,    -698,-93816,deanymesf,other
17/06/25,239080,331598,   -3552,  -19516,-92518,deanymesf,other
10/06/25,242632,351114,   16263,   19849,-108482,deanymesf,other
03/06/25,226369,331265,   30515,    6309,-104896,deanymesf,other
27/05/25,195854,324956,   -9502,    5698,-129102,deanymesf,other
20/05/25,205356,319258,   15714,   17537,-113902,deanymesf,other
13/05/25,189642,301721,    2466,   -2620,-112079,deanymesf,other
06/05/25,187176,304341,  -14761,   -9994,-117165,deanymesf,other
29/04/25,201937,314335,   -6500,    1756,-112398,deanymesf,other
22/04/25,208437,312579,   -6433,  -19417,-104142,deanymesf,other
15/04/25,214870,331996,  -17104,   -9158,-117126,deanymesf,other
08/04/25,231974,341154,   -4076,  -17511,-109180,deanymesf,other
01/04/25,236050,358665,     864,   -8430,-122615,deanymesf,other
25/03/25,235186,367095,    1943,   10809,-131909,deanymesf,other
18/03/25,233243,356286,  -38927,   -8874,-123043,deanymesf,other
11/03/25,272170,365160,  -16530,   -2684,-92990,deanymesf,other
04/03/25,288700,367844,   14753,   20114,-79144,deanymesf,other
25/02/25,273947,347730,     190,  -20643,-73783,deanymesf,other
18/02/25,273757,368373,   34159,   48243,-94616,deanymesf,other
11/02/25,239598,320130,   24126,   32460,-80532,deanymesf,other
04/02/25,215472,287670,  -11748,   -4592,-72198,deanymesf,other
28/01/25,227220,292262,   -7926,  -11345,-65042,deanymesf,other
21/01/25,235146,303607,    -191,   -3313,-68461,deanymesf,other
14/01/25,235337,306920,   12288,  -20896,-71583,deanymesf,other
07/01/25,223049,327816,   23159,    9853,-104767,deanymesf,other
