Date,Long,Short,Change long,Change short,Net position,url_report,type
07/04/26,381615,179462,    3528,   14863,202153,deanymesf,other
31/03/26,378087,164599,    1937,   22069,213488,deanymesf,other
24/03/26,376150,142530,   -9618,  -24550,233620,deanymesf,other
17/03/26,385768,167080,   -8883,     444,218688,deanymesf,other
10/03/26,394651,166636,   39493,  -16372,228015,deanymesf,other
03/03/26,355158,183008,    2593,    3155,172150,deanymesf,other
24/02/26,352565,179853,   30920,    -449,172712,deanymesf,other
17/02/26,321645,180302,     903,  -22626,141343,deanymesf,other
10/02/26,320742,202928,    5213,   11964,117814,deanymesf,other
03/02/26,315529,190964,   20282,   -7301,124565,deanymesf,other
27/01/26,295247,198265,   10438,   -7752,96982,deanymesf,other
20/01/26,284809,206017,   -1327,  -21991,78792,deanymesf,other
13/01/26,286136,228008,   27180,   26404,58128,deanymesf,other
06/01/26,258956,201604,   -2439,    4800,57352,deanymesf,other
30/12/25,261395,196804,    -372,     -65,64591,deanymesf,other
23/12/25,261767,196869,   -7447,  -17449,64898,deanymesf,other
16/12/25,269214,214318,   14881,   18418,54896,deanymesf,other
09/12/25,254333,195900,  -15629,  -23025,58433,deanymesf,other
02/12/25,269962,218925,   -6519,   -2539,51037,deanymesf,other
25/11/25,276481,221464,    4380,   18539,55017,deanymesf,other
18/11/25,272101,202925,   11106,    2314,69176,deanymesf,other
10/11/25,260995,200611,   -3957,   10566,60384,deanymesf,other
04/11/25,264952,190045,   -6770,  -16076,74907,deanymesf,other
28/10/25,271722,206121,    -955,  -26756,65601,deanymesf,other
21/10/25,272677,232877,   -1140,   20051,39800,deanymesf,other
14/10/25,273817,212826,    3247,   16565,60991,deanymesf,other
07/10/25,270570,196261,    2749,   31740,74309,deanymesf,other
30/09/25,267821,164521,    3012,    2670,103300,deanymesf,other
23/09/25,264809,161851,  -13467,  -17716,102958,deanymesf,other
16/09/25,278276,179567,    4020,  -12845,98709,deanymesf,other
09/09/25,274256,192412,  -18799,    1785,81844,deanymesf,other
02/09/25,293055,190627,   -7334,    -290,102428,deanymesf,other
26/08/25,300389,190917,   -4101,    6636,109472,deanymesf,other
19/08/25,304490,184281,   11266,    7799,120209,deanymesf,other
12/08/25,293224,176482,  -17335,    7752,116742,deanymesf,other
05/08/25,310559,168730,   -7890,    6304,141829,deanymesf,other
29/07/25,318449,162426,    9486,    6794,156023,deanymesf,other
22/07/25,308963,155632,      48,    9144,153331,deanymesf,other
15/07/25,308915,146488,  -24223,   22724,162427,deanymesf,other
08/07/25,333138,123764,  -22103,    3216,209374,deanymesf,other
01/07/25,355241,120548,   -2413,   -4137,234693,deanymesf,other
24/06/25,357654,124685,    9803,    7882,232969,deanymesf,other
17/06/25,347851,116803,   16590,  -22517,231048,deanymesf,other
10/06/25,331261,139320,    6089,  -17895,191941,deanymesf,other
03/06/25,325172,157215,    2561,     298,167957,deanymesf,other
27/05/25,322611,156917,  -10048,   10678,165694,deanymesf,other
20/05/25,332659,146239,    7636,    6517,186420,deanymesf,other
13/05/25,325023,139722,   -6325,  -16198,185301,deanymesf,other
06/05/25,331348,155920,   14182,   15963,175428,deanymesf,other
29/04/25,317166,139957,    8674,    2420,177209,deanymesf,other
22/04/25,308492,137537,   -2910,  -27495,170955,deanymesf,other
15/04/25,311402,165032,   -5886,  -12661,146370,deanymesf,other
08/04/25,317288,177693,   -9417,   18673,139595,deanymesf,other
01/04/25,326705,159020,    2878,   15751,167685,deanymesf,other
25/03/25,323827,143269,    7354,   -6381,180558,deanymesf,other
18/03/25,316473,149650,   13605,   10908,166823,deanymesf,other
11/03/25,302868,138742,   -3040,  -12325,164126,deanymesf,other
04/03/25,305908,151067,  -25079,   -8722,154841,deanymesf,other
25/02/25,330987,159789,    -854,   25542,171198,deanymesf,other
18/02/25,331841,134247,  -28192,   -5782,197594,deanymesf,other
11/02/25,360033,140029,    9449,   19758,220004,deanymesf,other
04/02/25,350584,120271,  -28499,    5314,230313,deanymesf,other
28/01/25,379083,114957,  -40315,   -5594,264126,deanymesf,other
21/01/25,419398,120551,  -14176,   -6732,298847,deanymesf,other
14/01/25,433574,127283,   21951,   -4773,306291,deanymesf,other
07/01/25,411623,132056,   31218,    5975,279567,deanymesf,other
